Open,Close,High,Low,Volume,Date
2602.685,2602.685,2602.685,2602.685,,12/30/22
2611.979,2611.979,2611.979,2611.979,,12/29/22
2575.156,2575.156,2575.156,2575.156,,12/28/22
2600.943,2600.943,2600.943,2600.943,,12/27/22
2605.478,2605.478,2605.478,2605.478,,12/26/22
2605.186,2605.186,2605.186,2605.186,,12/23/22
2595.247,2595.247,2595.247,2595.247,,12/22/22
2626.917,2626.917,2626.917,2626.917,,12/21/22
2592.86,2592.86,2592.86,2592.86,,12/20/22
2585.891,2585.891,2585.891,2585.891,,12/19/22
2606.01,2606.01,2606.01,2606.01,,12/16/22
2636.915,2636.915,2636.915,2636.915,,12/15/22
2705.315,2705.315,2705.315,2705.315,,12/14/22
2715.49,2715.49,2715.49,2715.49,,12/13/22
2683.558,2683.558,2683.558,2683.558,,12/12/22
2662.858,2662.858,2662.858,2662.858,,12/09/22
2670.271,2670.271,2670.271,2670.271,,12/08/22
2654.343,2654.343,2654.343,2654.343,,12/07/22
2662.07,2662.07,2662.07,2662.07,,12/06/22
2696.296,2696.296,2696.296,2696.296,,12/05/22
2733.031,2733.031,2733.031,2733.031,,12/02/22
2741.077,2741.077,2741.077,2741.077,,12/01/22
2720.889,2720.889,2720.889,2720.889,,11/30/22
2663.247,2663.247,2663.247,2663.247,,11/29/22
2668.436,2668.436,2668.436,2668.436,,11/28/22
2703.666,2703.666,2703.666,2703.666,,11/25/22
2706.008,2706.008,2706.008,2706.008,,11/24/22
2697.388,2697.388,2697.388,2697.388,,11/23/22
2675.459,2675.459,2675.459,2675.459,,11/22/22
2640.44,2640.44,2640.44,2640.44,,11/21/22
2658.898,2658.898,2658.898,2658.898,,11/18/22
2642.335,2642.335,2642.335,2642.335,,11/17/22
2657.579,2657.579,2657.579,2657.579,,11/16/22
2678.226,2678.226,2678.226,2678.226,,11/15/22
2653.942,2653.942,2653.942,2653.942,,11/14/22
2674.077,2674.077,2674.077,2674.077,,11/11/22
2636.547,2636.547,2636.547,2636.547,,11/10/22
2509.765,2509.765,2509.765,2509.765,,11/09/22
2554.874,2554.874,2554.874,2554.874,,11/08/22
2533.635,2533.635,2533.635,2533.635,,11/07/22
2507.22,2507.22,2507.22,2507.22,,11/04/22
2467.889,2467.889,2467.889,2467.889,,11/03/22
2499.785,2499.785,2499.785,2499.785,,11/02/22
2546.395,2546.395,2546.395,2546.395,,11/01/22
2547.716,2547.716,2547.716,2547.716,,10/31/22
2561.044,2561.044,2561.044,2561.044,,10/28/22
2523.587,2523.587,2523.587,2523.587,,10/27/22
2535.675,2535.675,2535.675,2535.675,,10/26/22
2537.537,2537.537,2537.537,2537.537,,10/25/22
2493.062,2493.062,2493.062,2493.062,,10/24/22
2462.423,2462.423,2462.423,2462.423,,10/21/22
2429.258,2429.258,2429.258,2429.258,,10/20/22
2439.303,2439.303,2439.303,2439.303,,10/19/22
2457.861,2457.861,2457.861,2457.861,,10/18/22
2431.839,2431.839,2431.839,2431.839,,10/17/22
2376.645,2376.645,2376.645,2376.645,,10/14/22
2411.689,2411.689,2411.689,2411.689,,10/13/22
2367.689,2367.689,2367.689,2367.689,,10/12/22
2376.288,2376.288,2376.288,2376.288,,10/11/22
2395.614,2395.614,2395.614,2395.614,,10/10/22
2417.722,2417.722,2417.722,2417.722,,10/07/22
2478.421,2478.421,2478.421,2478.421,,10/06/22
2500.075,2500.075,2500.075,2500.075,,10/05/22
2511.721,2511.721,2511.721,2511.721,,10/04/22
2429.908,2429.908,2429.908,2429.908,,10/03/22
2378.645,2378.645,2378.645,2378.645,,09/30/22
2401.317,2401.317,2401.317,2401.317,,09/29/22
2438.777,2438.777,2438.777,2438.777,,09/28/22
2403.878,2403.878,2403.878,2403.878,,09/27/22
2408.439,2408.439,2408.439,2408.439,,09/26/22
2438.504,2438.504,2438.504,2438.504,,09/23/22
2489.36,2489.36,2489.36,2489.36,,09/22/22
2516.591,2516.591,2516.591,2516.591,,09/21/22
2554.023,2554.023,2554.023,2554.023,,09/20/22
2580.549,2580.549,2580.549,2580.549,,09/19/22
2569.294,2569.294,2569.294,2569.294,,09/16/22
2591.995,2591.995,2591.995,2591.995,,09/15/22
2617.841,2617.841,2617.841,2617.841,,09/14/22
2619.5,2619.5,2619.5,2619.5,,09/13/22
2719.008,2719.008,2719.008,2719.008,,09/12/22
2682.895,2682.895,2682.895,2682.895,,09/09/22
2636.169,2636.169,2636.169,2636.169,,09/08/22
2614.103,2614.103,2614.103,2614.103,,09/07/22
2584.97,2584.97,2584.97,2584.97,,09/06/22
2596.701,2596.701,2596.701,2596.701,,09/05/22
2605.21,2605.21,2605.21,2605.21,,09/02/22
2610.255,2610.255,2610.255,2610.255,,09/01/22
2627.321,2627.321,2627.321,2627.321,,08/31/22
2645.373,2645.373,2645.373,2645.373,,08/30/22
2668.786,2668.786,2668.786,2668.786,,08/29/22
2694.617,2694.617,2694.617,2694.617,,08/26/22
2768.48,2768.48,2768.48,2768.48,,08/25/22
2736.007,2736.007,2736.007,2736.007,,08/24/22
2730.354,2730.354,2730.354,2730.354,,08/23/22
2736.098,2736.098,2736.098,2736.098,,08/22/22
2787.705,2787.705,2787.705,2787.705,,08/19/22
2826.414,2826.414,2826.414,2826.414,,08/18/22
2822.873,2822.873,2822.873,2822.873,,08/17/22
2844.42,2844.42,2844.42,2844.42,,08/16/22
2842.48,2842.48,2842.48,2842.48,,08/15/22
2834.513,2834.513,2834.513,2834.513,,08/12/22
2802.229,2802.229,2802.229,2802.229,,08/11/22
2803.371,2803.371,2803.371,2803.371,,08/10/22
2743.624,2743.624,2743.624,2743.624,,08/09/22
2758.723,2758.723,2758.723,2758.723,,08/08/22
2752.06,2752.06,2752.06,2752.06,,08/05/22
2761.65,2761.65,2761.65,2761.65,,08/04/22
2755.245,2755.245,2755.245,2755.245,,08/03/22
2728.3,2728.3,2728.3,2728.3,,08/02/22
2749.261,2749.261,2749.261,2749.261,,08/01/22
2746.365,2746.365,2746.365,2746.365,,07/29/22
2709.821,2709.821,2709.821,2709.821,,07/28/22
2675.085,2675.085,2675.085,2675.085,,07/27/22
2624.492,2624.492,2624.492,2624.492,,07/26/22
2651.222,2651.222,2651.222,2651.222,,07/25/22
2650.819,2650.819,2650.819,2650.819,,07/22/22
2663.837,2663.837,2663.837,2663.837,,07/21/22
2643.932,2643.932,2643.932,2643.932,,07/20/22
2628.336,2628.336,2628.336,2628.336,,07/19/22
2567.678,2567.678,2567.678,2567.678,,07/18/22
2568.635,2568.635,2568.635,2568.635,,07/15/22
2520.915,2520.915,2520.915,2520.915,,07/14/22
2544.677,2544.677,2544.677,2544.677,,07/13/22
2554.185,2554.185,2554.185,2554.185,,07/12/22
2572.333,2572.333,2572.333,2572.333,,07/11/22
2603.619,2603.619,2603.619,2603.619,,07/08/22
2602.031,2602.031,2602.031,2602.031,,07/07/22
2561.199,2561.199,2561.199,2561.199,,07/06/22
2553.954,2553.954,2553.954,2553.954,,07/05/22
2567.866,2567.866,2567.866,2567.866,,07/04/22
2559.951,2559.951,2559.951,2559.951,,07/01/22
2546.185,2546.185,2546.185,2546.185,,06/30/22
2574.451,2574.451,2574.451,2574.451,,06/29/22
2584.256,2584.256,2584.256,2584.256,,06/28/22
2623.197,2623.197,2623.197,2623.197,,06/27/22
2619.476,2619.476,2619.476,2619.476,,06/24/22
2549.053,2549.053,2549.053,2549.053,,06/23/22
2537.255,2537.255,2537.255,2537.255,,06/22/22
2543.356,2543.356,2543.356,2543.356,,06/21/22
2494.995,2494.995,2494.995,2494.995,,06/20/22
2485.773,2485.773,2485.773,2485.773,,06/17/22
2490.538,2490.538,2490.538,2490.538,,06/16/22
2556.671,2556.671,2556.671,2556.671,,06/15/22
2525.881,2525.881,2525.881,2525.881,,06/14/22
2545.045,2545.045,2545.045,2545.045,,06/13/22
2641.694,2641.694,2641.694,2641.694,,06/10/22
2721.847,2721.847,2721.847,2721.847,,06/09/22
2783.291,2783.291,2783.291,2783.291,,06/08/22
2805.325,2805.325,2805.325,2805.325,,06/07/22
2789.828,2789.828,2789.828,2789.828,,06/06/22
2779.065,2779.065,2779.065,2779.065,,06/03/22
2814.026,2814.026,2814.026,2814.026,,06/02/22
2770.431,2770.431,2770.431,2770.431,,06/01/22
2791.013,2791.013,2791.013,2791.013,,05/31/22
2814.745,2814.745,2814.745,2814.745,,05/30/22
2802.587,2802.587,2802.587,2802.587,,05/27/22
2743.963,2743.963,2743.963,2743.963,,05/26/22
2700.089,2700.089,2700.089,2700.089,,05/25/22
2680.459,2680.459,2680.459,2680.459,,05/24/22
2702.252,2702.252,2702.252,2702.252,,05/23/22
2655.913,2655.913,2655.913,2655.913,,05/20/22
2651.554,2651.554,2651.554,2651.554,,05/19/22
2665.06,2665.06,2665.06,2665.06,,05/18/22
2746.82,2746.82,2746.82,2746.82,,05/17/22
2693.953,2693.953,2693.953,2693.953,,05/16/22
2701.327,2701.327,2701.327,2701.327,,05/13/22
2639.753,2639.753,2639.753,2639.753,,05/12/22
2652.587,2652.587,2652.587,2652.587,,05/11/22
2677.245,2677.245,2677.245,2677.245,,05/10/22
2671.828,2671.828,2671.828,2671.828,,05/09/22
2762.213,2762.213,2762.213,2762.213,,05/06/22
2784.116,2784.116,2784.116,2784.116,,05/05/22
2864.43,2864.43,2864.43,2864.43,,05/04/22
2809.815,2809.815,2809.815,2809.815,,05/03/22
2796.33,2796.33,2796.33,2796.33,,05/02/22
2795.615,2795.615,2795.615,2795.615,,04/29/22
2861.549,2861.549,2861.549,2861.549,,04/28/22
2807.51,2807.51,2807.51,2807.51,,04/27/22
2810.996,2810.996,2810.996,2810.996,,04/26/22
2877.705,2877.705,2877.705,2877.705,,04/25/22
2882.453,2882.453,2882.453,2882.453,,04/22/22
2959.917,2959.917,2959.917,2959.917,,04/21/22
2994.639,2994.639,2994.639,2994.639,,04/20/22
2984.699,2984.699,2984.699,2984.699,,04/19/22
2954.152,2954.152,2954.152,2954.152,,04/18/22
2959.671,2959.671,2959.671,2959.671,,04/15/22
2960.639,2960.639,2960.639,2960.639,,04/14/22
2985.065,2985.065,2985.065,2985.065,,04/13/22
2959.777,2959.777,2959.777,2959.777,,04/12/22
2972.401,2972.401,2972.401,2972.401,,04/11/22
3012.194,3012.194,3012.194,3012.194,,04/08/22
3014.077,3014.077,3014.077,3014.077,,04/07/22
3012.236,3012.236,3012.236,3012.236,,04/06/22
3049.394,3049.394,3049.394,3049.394,,04/05/22
3081.384,3081.384,3081.384,3081.384,,04/04/22
3057.067,3057.067,3057.067,3057.067,,04/01/22
3053.07,3053.07,3053.07,3053.07,,03/31/22
3096.667,3096.667,3096.667,3096.667,,03/30/22
3110.809,3110.809,3110.809,3110.809,,03/29/22
3061.631,3061.631,3061.631,3061.631,,03/28/22
3049.112,3049.112,3049.112,3049.112,,03/25/22
3041.477,3041.477,3041.477,3041.477,,03/24/22
3012.794,3012.794,3012.794,3012.794,,03/23/22
3040.37,3040.37,3040.37,3040.37,,03/22/22
3010.083,3010.083,3010.083,3010.083,,03/21/22
3010.587,3010.587,3010.587,3010.587,,03/18/22
2981.313,2981.313,2981.313,2981.313,,03/17/22
2936.325,2936.325,2936.325,2936.325,,03/16/22
2865.889,2865.889,2865.889,2865.889,,03/15/22
2826.489,2826.489,2826.489,2826.489,,03/14/22
2840.045,2840.045,2840.045,2840.045,,03/11/22
2871.521,2871.521,2871.521,2871.521,,03/10/22
2881.776,2881.776,2881.776,2881.776,,03/09/22
2797.696,2797.696,2797.696,2797.696,,03/08/22
2819.539,2819.539,2819.539,2819.539,,03/07/22
2896.523,2896.523,2896.523,2896.523,,03/04/22
2942.448,2942.448,2942.448,2942.448,,03/03/22
2964.244,2964.244,2964.244,2964.244,,03/02/22
2930.765,2930.765,2930.765,2930.765,,03/01/22
2977.954,2977.954,2977.954,2977.954,,02/28/22
2980.204,2980.204,2980.204,2980.204,,02/25/22
2905.944,2905.944,2905.944,2905.944,,02/24/22
2909.331,2909.331,2909.331,2909.331,,02/23/22
2949.641,2949.641,2949.641,2949.641,,02/22/22
2975.909,2975.909,2975.909,2975.909,,02/21/22
2983.586,2983.586,2983.586,2983.586,,02/18/22
3009.089,3009.089,3009.089,3009.089,,02/17/22
3060.289,3060.289,3060.289,3060.289,,02/16/22
3054.257,3054.257,3054.257,3054.257,,02/15/22
3011.452,3011.452,3011.452,3011.452,,02/14/22
3039.176,3039.176,3039.176,3039.176,,02/11/22
3087.983,3087.983,3087.983,3087.983,,02/10/22
3124.928,3124.928,3124.928,3124.928,,02/09/22
3077.134,3077.134,3077.134,3077.134,,02/08/22
3059.438,3059.438,3059.438,3059.438,,02/07/22
3061.464,3061.464,3061.464,3061.464,,02/04/22
3052.497,3052.497,3052.497,3052.497,,02/03/22
3113.835,3113.835,3113.835,3113.835,,02/02/22
3086.616,3086.616,3086.616,3086.616,,02/01/22
3059.047,3059.047,3059.047,3059.047,,01/31/22
