Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,31,6958
2004-02-01,28,6285
2004-03-01,45,10101
2004-04-01,38,8530
2004-05-01,34,7632
2004-06-01,30,6734
2004-07-01,54,12121
2004-08-01,36,8081
2004-09-01,62,13917
2004-10-01,63,14141
2004-11-01,13,2918
2004-12-01,49,10999
2005-01-01,51,11448
2005-02-01,42,9427
2005-03-01,57,12795
2005-04-01,44,9876
2005-05-01,51,11448
2005-06-01,60,13468
2005-07-01,34,7632
2005-08-01,58,13019
2005-09-01,58,13019
2005-10-01,57,12795
2005-11-01,64,14366
2005-12-01,56,12570
2006-01-01,58,13019
2006-02-01,62,13917
2006-03-01,60,13468
2006-04-01,69,15488
2006-05-01,65,14590
2006-06-01,42,9427
2006-07-01,37,8305
2006-08-01,49,10999
2006-09-01,41,9203
2006-10-01,37,8305
2006-11-01,53,11897
2006-12-01,31,6958
2007-01-01,50,11223
2007-02-01,52,11672
2007-03-01,50,11223
2007-04-01,51,11448
2007-05-01,59,13243
2007-06-01,53,11897
2007-07-01,47,10550
2007-08-01,42,9427
2007-09-01,40,8978
2007-10-01,42,9427
2007-11-01,52,11672
2007-12-01,35,7856
2008-01-01,57,12795
2008-02-01,45,10101
2008-03-01,43,9652
2008-04-01,59,13243
2008-05-01,64,14366
2008-06-01,51,11448
2008-07-01,60,13468
2008-08-01,45,10101
2008-09-01,50,11223
2008-10-01,57,12795
2008-11-01,44,9876
2008-12-01,41,9203
2009-01-01,44,9876
2009-02-01,44,9876
2009-03-01,43,9652
2009-04-01,50,11223
2009-05-01,44,9876
2009-06-01,45,10101
2009-07-01,44,9876
2009-08-01,40,8978
2009-09-01,36,8081
2009-10-01,40,8978
2009-11-01,39,8754
2009-12-01,35,7856
2010-01-01,38,8530
2010-02-01,35,7856
2010-03-01,39,8754
2010-04-01,49,10999
2010-05-01,41,9203
2010-06-01,36,8081
2010-07-01,31,6958
2010-08-01,31,6958
2010-09-01,33,7407
2010-10-01,29,6509
2010-11-01,34,7632
2010-12-01,29,6509
2011-01-01,41,9203
2011-02-01,43,9652
2011-03-01,44,9876
2011-04-01,45,10101
2011-05-01,33,7407
2011-06-01,31,6958
2011-07-01,31,6958
2011-08-01,34,7632
2011-09-01,31,6958
2011-10-01,31,6958
2011-11-01,34,7632
2011-12-01,26,5836
2012-01-01,29,6509
2012-02-01,32,7183
2012-03-01,34,7632
2012-04-01,32,7183
2012-05-01,28,6285
2012-06-01,28,6285
2012-07-01,30,6734
2012-08-01,24,5387
2012-09-01,24,5387
2012-10-01,31,6958
2012-11-01,28,6285
2012-12-01,22,4938
2013-01-01,30,6734
2013-02-01,31,6958
2013-03-01,30,6734
2013-04-01,28,6285
2013-05-01,26,5836
2013-06-01,26,5836
2013-07-01,22,4938
2013-08-01,22,4938
2013-09-01,25,5611
2013-10-01,31,6958
2013-11-01,27,6060
2013-12-01,24,5387
2014-01-01,28,6285
2014-02-01,28,6285
2014-03-01,29,6509
2014-04-01,33,7407
2014-05-01,26,5836
2014-06-01,24,5387
2014-07-01,24,5387
2014-08-01,20,4489
2014-09-01,26,5836
2014-10-01,26,5836
2014-11-01,26,5836
2014-12-01,37,8305
2015-01-01,37,8305
2015-02-01,36,8081
2015-03-01,34,7632
2015-04-01,34,7632
2015-05-01,27,6060
2015-06-01,26,5836
2015-07-01,24,5387
2015-08-01,26,5836
2015-09-01,25,5611
2015-10-01,29,6509
2015-11-01,29,6509
2015-12-01,26,5836
2016-01-01,30,6734
2016-02-01,35,7856
2016-03-01,33,7407
2016-04-01,32,7183
2016-05-01,31,6958
2016-06-01,27,6060
2016-07-01,22,4938
2016-08-01,19,4265
2016-09-01,25,5611
2016-10-01,26,5836
2016-11-01,27,6060
2016-12-01,26,5836
2017-01-01,24,5387
2017-02-01,33,7407
2017-03-01,32,7183
2017-04-01,35,7856
2017-05-01,35,7856
2017-06-01,27,6060
2017-07-01,24,5387
2017-08-01,24,5387
2017-09-01,27,6060
2017-10-01,30,6734
2017-11-01,30,6734
2017-12-01,26,5836
2018-01-01,31,6958
2018-02-01,33,7407
2018-03-01,36,8081
2018-04-01,33,7407
2018-05-01,32,7183
2018-06-01,28,6285
2018-07-01,26,5836
2018-08-01,27,6060
2018-09-01,27,6060
2018-10-01,32,7183
2018-11-01,33,7407
2018-12-01,29,6509
2019-01-01,32,7183
2019-02-01,33,7407
2019-03-01,34,7632
2019-04-01,35,7856
2019-05-01,34,7632
2019-06-01,31,6958
2019-07-01,29,6509
2019-08-01,26,5836
2019-09-01,31,6958
2019-10-01,33,7407
2019-11-01,34,7632
2019-12-01,40,8978
2020-01-01,37,8305
2020-02-01,43,9652
2020-03-01,60,13468
