Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,16,3904
2004-02-01,31,7565
2004-03-01,29,7077
2004-04-01,11,2684
2004-05-01,41,10005
2004-06-01,43,10493
2004-07-01,22,5368
2004-08-01,35,8541
2004-09-01,50,12202
2004-10-01,32,7809
2004-11-01,34,8297
2004-12-01,31,7565
2005-01-01,33,8053
2005-02-01,49,11958
2005-03-01,22,5368
2005-04-01,44,10737
2005-05-01,31,7565
2005-06-01,39,9517
2005-07-01,45,10982
2005-08-01,37,9029
2005-09-01,25,6101
2005-10-01,42,10249
2005-11-01,41,10005
2005-12-01,18,4392
2006-01-01,38,9273
2006-02-01,39,9517
2006-03-01,60,14642
2006-04-01,43,10493
2006-05-01,44,10737
2006-06-01,40,9761
2006-07-01,15,3660
2006-08-01,25,6101
2006-09-01,37,9029
2006-10-01,27,6589
2006-11-01,50,12202
2006-12-01,34,8297
2007-01-01,55,13422
2007-02-01,38,9273
2007-03-01,19,4636
2007-04-01,38,9273
2007-05-01,40,9761
2007-06-01,28,6833
2007-07-01,34,8297
2007-08-01,38,9273
2007-09-01,30,7321
2007-10-01,41,10005
2007-11-01,54,13178
2007-12-01,51,12446
2008-01-01,49,11958
2008-02-01,40,9761
2008-03-01,42,10249
2008-04-01,44,10737
2008-05-01,42,10249
2008-06-01,54,13178
2008-07-01,45,10982
2008-08-01,29,7077
2008-09-01,52,12690
2008-10-01,60,14642
2008-11-01,46,11226
2008-12-01,37,9029
2009-01-01,51,12446
2009-02-01,32,7809
2009-03-01,41,10005
2009-04-01,40,9761
2009-05-01,46,11226
2009-06-01,36,8785
2009-07-01,39,9517
2009-08-01,33,8053
2009-09-01,36,8785
2009-10-01,52,12690
2009-11-01,45,10982
2009-12-01,43,10493
2010-01-01,40,9761
2010-02-01,43,10493
2010-03-01,38,9273
2010-04-01,36,8785
2010-05-01,33,8053
2010-06-01,39,9517
2010-07-01,29,7077
2010-08-01,37,9029
2010-09-01,37,9029
2010-10-01,40,9761
2010-11-01,36,8785
2010-12-01,38,9273
2011-01-01,42,10249
2011-02-01,39,9517
2011-03-01,47,11470
2011-04-01,32,7809
2011-05-01,38,9273
2011-06-01,31,7565
2011-07-01,29,7077
2011-08-01,32,7809
2011-09-01,28,6833
2011-10-01,26,6345
2011-11-01,24,5857
2011-12-01,26,6345
2012-01-01,31,7565
2012-02-01,41,10005
2012-03-01,38,9273
2012-04-01,30,7321
2012-05-01,31,7565
2012-06-01,23,5613
2012-07-01,31,7565
2012-08-01,23,5613
2012-09-01,24,5857
2012-10-01,27,6589
2012-11-01,25,6101
2012-12-01,20,4880
2013-01-01,34,8297
2013-02-01,31,7565
2013-03-01,33,8053
2013-04-01,33,8053
2013-05-01,29,7077
2013-06-01,28,6833
2013-07-01,28,6833
2013-08-01,31,7565
2013-09-01,36,8785
2013-10-01,52,12690
2013-11-01,41,10005
2013-12-01,28,6833
2014-01-01,41,10005
2014-02-01,35,8541
2014-03-01,46,11226
2014-04-01,44,10737
2014-05-01,28,6833
2014-06-01,30,7321
2014-07-01,30,7321
2014-08-01,29,7077
2014-09-01,29,7077
2014-10-01,34,8297
2014-11-01,33,8053
2014-12-01,37,9029
2015-01-01,33,8053
2015-02-01,34,8297
2015-03-01,33,8053
2015-04-01,33,8053
2015-05-01,29,7077
2015-06-01,30,7321
2015-07-01,32,7809
2015-08-01,39,9517
2015-09-01,31,7565
2015-10-01,32,7809
2015-11-01,25,6101
2015-12-01,30,7321
2016-01-01,36,8785
2016-02-01,37,9029
2016-03-01,34,8297
2016-04-01,39,9517
2016-05-01,32,7809
2016-06-01,31,7565
2016-07-01,33,8053
2016-08-01,30,7321
2016-09-01,38,9273
2016-10-01,33,8053
2016-11-01,32,7809
2016-12-01,34,8297
2017-01-01,34,8297
2017-02-01,41,10005
2017-03-01,41,10005
2017-04-01,38,9273
2017-05-01,37,9029
2017-06-01,36,8785
2017-07-01,36,8785
2017-08-01,35,8541
2017-09-01,35,8541
2017-10-01,40,9761
2017-11-01,38,9273
2017-12-01,38,9273
2018-01-01,43,10493
2018-02-01,39,9517
2018-03-01,36,8785
2018-04-01,36,8785
