




Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,33,120297
2004-02-01,34,123943
2004-03-01,34,123943
2004-04-01,30,109361
2004-05-01,33,120297
2004-06-01,31,113006
2004-07-01,30,109361
2004-08-01,26,94779
2004-09-01,28,102070
2004-10-01,29,105716
2004-11-01,26,94779
2004-12-01,25,91134
2005-01-01,29,105716
2005-02-01,35,127588
2005-03-01,33,120297
2005-04-01,37,134879
2005-05-01,33,120297
2005-06-01,32,116652
2005-07-01,34,123943
2005-08-01,31,113006
2005-09-01,41,149460
2005-10-01,40,145815
2005-11-01,34,123943
2005-12-01,27,98425
2006-01-01,33,120297
2006-02-01,38,138524
2006-03-01,42,153106
2006-04-01,43,156751
2006-05-01,40,145815
2006-06-01,36,131233
2006-07-01,37,134879
2006-08-01,39,142169
2006-09-01,39,142169
2006-10-01,40,145815
2006-11-01,42,153106
2006-12-01,32,116652
2007-01-01,44,160396
2007-02-01,46,167687
2007-03-01,54,196850
2007-04-01,59,215077
2007-05-01,54,196850
2007-06-01,49,178623
2007-07-01,50,182269
2007-08-01,46,167687
2007-09-01,47,171333
2007-10-01,56,204141
2007-11-01,56,204141
2007-12-01,45,164042
2008-01-01,57,207786
2008-02-01,58,211432
2008-03-01,56,204141
2008-04-01,69,251531
2008-05-01,66,240595
2008-06-01,65,236949
2008-07-01,67,244240
2008-08-01,60,218723
2008-09-01,67,244240
2008-10-01,71,258822
2008-11-01,70,255176
2008-12-01,56,204141
2009-01-01,65,236949
2009-02-01,79,287985
2009-03-01,79,287985
2009-04-01,82,298921
2009-05-01,73,266113
2009-06-01,69,251531
2009-07-01,65,236949
2009-08-01,66,240595
2009-09-01,70,255176
2009-10-01,72,262467
2009-11-01,72,262467
2009-12-01,68,247886
2010-01-01,64,233304
2010-02-01,73,266113
2010-03-01,70,255176
2010-04-01,75,273403
2010-05-01,67,244240
2010-06-01,63,229659
2010-07-01,60,218723
2010-08-01,62,226013
2010-09-01,63,229659
2010-10-01,67,244240
2010-11-01,63,229659
2010-12-01,57,207786
2011-01-01,60,218723
2011-02-01,62,226013
2011-03-01,63,229659
2011-04-01,59,215077
2011-05-01,57,207786
2011-06-01,61,222368
2011-07-01,56,204141
2011-08-01,55,200496
2011-09-01,63,229659
2011-10-01,59,215077
2011-11-01,57,207786
2011-12-01,49,178623
2012-01-01,52,189559
2012-02-01,57,207786
2012-03-01,57,207786
2012-04-01,53,193205
2012-05-01,51,185914
2012-06-01,52,189559
2012-07-01,48,174978
2012-08-01,48,174978
2012-09-01,52,189559
2012-10-01,64,233304
2012-11-01,57,207786
2012-12-01,43,156751
2013-01-01,51,185914
2013-02-01,50,182269
2013-03-01,50,182269
2013-04-01,56,204141
2013-05-01,50,182269
2013-06-01,44,160396
2013-07-01,44,160396
2013-08-01,44,160396
2013-09-01,46,167687
2013-10-01,57,207786
2013-11-01,49,178623
2013-12-01,44,160396
2014-01-01,51,185914
2014-02-01,50,182269
2014-03-01,55,200496
2014-04-01,51,185914
2014-05-01,51,185914
2014-06-01,48,174978
2014-07-01,44,160396
2014-08-01,40,145815
2014-09-01,49,178623
2014-10-01,50,182269
2014-11-01,46,167687
2014-12-01,38,138524
2015-01-01,43,156751
2015-02-01,47,171333
2015-03-01,48,174978
2015-04-01,42,153106
2015-05-01,41,149460
2015-06-01,40,145815
2015-07-01,41,149460
2015-08-01,38,138524
2015-09-01,40,145815
2015-10-01,43,156751
2015-11-01,43,156751
2015-12-01,37,134879
2016-01-01,36,131233
2016-02-01,38,138524
2016-03-01,39,142169
2016-04-01,40,145815
2016-05-01,37,134879
2016-06-01,34,123943
2016-07-01,34,123943
2016-08-01,32,116652
2016-09-01,35,127588
2016-10-01,40,145815
2016-11-01,42,153106
2016-12-01,33,120297
2017-01-01,40,145815
2017-02-01,41,149460
2017-03-01,46,167687
2017-04-01,45,164042
2017-05-01,43,156751
2017-06-01,43,156751
2017-07-01,37,134879
2017-08-01,36,131233
2017-09-01,39,142169
2017-10-01,45,164042
2017-11-01,46,167687
2017-12-01,38,138524
2018-01-01,44,160396
2018-02-01,44,160396
2018-03-01,42,153106
2018-04-01,44,160396
2018-05-01,42,153106
2018-06-01,42,153106
2018-07-01,43,156751
2018-08-01,45,164042
2018-09-01,46,167687
2018-10-01,49,178623
2018-11-01,45,164042
2018-12-01,36,131233
2019-01-01,46,167687
2019-02-01,49,178623
2019-03-01,49,178623
2019-04-01,50,182269
2019-05-01,47,171333
2019-06-01,48,174978
2019-07-01,46,167687
2019-08-01,45,164042
2019-09-01,52,189559
2019-10-01,55,200496
2019-11-01,53,193205
2019-12-01,47,171333
2020-01-01,56,204141
2020-02-01,52,189559
2020-03-01,44,160396
2020-04-01,46,167687
2020-05-01,49,178623
2020-06-01,58,211432
2020-07-01,59,215077
2020-08-01,51,185914
2020-09-01,66,240595
2020-10-01,63,229659
2020-11-01,62,226013
2020-12-01,55,200496
2021-01-01,77,280694
2021-02-01,84,306212
2021-03-01,62,226013
2021-04-01,58,211432
2021-05-01,56,204141
2021-06-01,55,200496
2021-07-01,51,185914
2021-08-01,50,182269
2021-09-01,65,236949
2021-10-01,59,215077
2021-11-01,62,226013
2021-12-01,52,189559
2022-01-01,73,266113
2022-02-01,74,269758
2022-03-01,71,258822
2022-04-01,78,284339
2022-05-01,69,251531
2022-06-01,66,240595
2022-07-01,61,222368
2022-08-01,68,247886
2022-09-01,74,269758
2022-10-01,67,244240
2022-11-01,100,364538
2022-12-01,65,236949
2023-01-01,77,280694
2023-02-01,98,357247
2023-03-01,77,280694
2023-04-01,66,240595
2023-05-01,65,236949
2023-06-01,69,251531
2023-07-01,66,240595
2023-08-01,65,236949
2023-09-01,72,262467
2023-10-01,73,266113
2023-11-01,73,266113
2023-12-01,86,313503
2024-01-01,90,328084
2024-02-01,99,360893
