Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,31,209904
2004-02-01,33,223447
2004-03-01,37,250531
2004-04-01,32,216676
2004-05-01,41,277616
2004-06-01,25,169278
2004-07-01,21,142193
2004-08-01,23,155735
2004-09-01,40,270845
2004-10-01,43,291158
2004-11-01,33,223447
2004-12-01,70,473978
2005-01-01,100,677112
2005-02-01,59,399496
2005-03-01,45,304700
2005-04-01,42,284387
2005-05-01,41,277616
2005-06-01,25,169278
2005-07-01,20,135422
2005-08-01,27,182820
2005-09-01,68,460436
2005-10-01,74,501063
2005-11-01,53,358869
2005-12-01,31,209904
2006-01-01,36,243760
2006-02-01,37,250531
2006-03-01,39,264073
2006-04-01,32,216676
2006-05-01,40,270845
2006-06-01,27,182820
2006-07-01,16,108338
2006-08-01,20,135422
2006-09-01,28,189591
2006-10-01,30,203133
2006-11-01,28,189591
2006-12-01,18,121880
2007-01-01,22,148964
2007-02-01,23,155735
2007-03-01,25,169278
2007-04-01,21,142193
2007-05-01,27,182820
2007-06-01,19,128651
2007-07-01,13,88024
2007-08-01,17,115109
2007-09-01,23,155735
2007-10-01,24,162507
2007-11-01,24,162507
2007-12-01,17,115109
2008-01-01,20,135422
2008-02-01,23,155735
2008-03-01,20,135422
2008-04-01,23,155735
2008-05-01,37,250531
2008-06-01,19,128651
2008-07-01,15,101566
2008-08-01,15,101566
2008-09-01,26,176049
2008-10-01,25,169278
2008-11-01,21,142193
2008-12-01,15,101566
2009-01-01,17,115109
2009-02-01,23,155735
2009-03-01,25,169278
2009-04-01,24,162507
2009-05-01,23,155735
2009-06-01,18,121880
2009-07-01,13,88024
2009-08-01,16,108338
2009-09-01,22,148964
2009-10-01,28,189591
2009-11-01,26,176049
2009-12-01,18,121880
2010-01-01,34,230218
2010-02-01,30,203133
2010-03-01,30,203133
2010-04-01,33,223447
2010-05-01,30,203133
2010-06-01,21,142193
2010-07-01,15,101566
2010-08-01,19,128651
2010-09-01,24,162507
2010-10-01,24,162507
2010-11-01,24,162507
2010-12-01,17,115109
2011-01-01,24,162507
2011-02-01,27,182820
2011-03-01,50,338556
2011-04-01,33,223447
2011-05-01,37,250531
2011-06-01,27,182820
2011-07-01,17,115109
2011-08-01,25,169278
2011-09-01,28,189591
2011-10-01,29,196362
2011-11-01,28,189591
2011-12-01,21,142193
2012-01-01,24,162507
2012-02-01,24,162507
2012-03-01,24,162507
2012-04-01,23,155735
2012-05-01,24,162507
2012-06-01,19,128651
2012-07-01,14,94795
2012-08-01,17,115109
2012-09-01,22,148964
2012-10-01,27,182820
2012-11-01,26,176049
2012-12-01,20,135422
2013-01-01,26,176049
2013-02-01,23,155735
2013-03-01,20,135422
2013-04-01,22,148964
2013-05-01,27,182820
2013-06-01,22,148964
2013-07-01,18,121880
2013-08-01,18,121880
2013-09-01,20,135422
2013-10-01,24,162507
2013-11-01,27,182820
2013-12-01,20,135422
2014-01-01,20,135422
2014-02-01,21,142193
2014-03-01,20,135422
2014-04-01,22,148964
2014-05-01,23,155735
2014-06-01,19,128651
2014-07-01,15,101566
2014-08-01,16,108338
2014-09-01,21,142193
2014-10-01,22,148964
2014-11-01,21,142193
2014-12-01,16,108338
2015-01-01,21,142193
2015-02-01,20,135422
2015-03-01,20,135422
2015-04-01,22,148964
2015-05-01,26,176049
2015-06-01,22,148964
2015-07-01,17,115109
2015-08-01,16,108338
2015-09-01,21,142193
2015-10-01,24,162507
2015-11-01,22,148964
2015-12-01,18,121880
2016-01-01,22,148964
2016-02-01,20,135422
2016-03-01,18,121880
2016-04-01,20,135422
2016-05-01,20,135422
2016-06-01,20,135422
2016-07-01,13,88024
2016-08-01,17,115109
2016-09-01,19,128651
2016-10-01,23,155735
2016-11-01,23,155735
2016-12-01,19,128651
2017-01-01,20,135422
2017-02-01,22,148964
2017-03-01,21,142193
2017-04-01,17,115109
2017-05-01,21,142193
2017-06-01,18,121880
2017-07-01,14,94795
2017-08-01,19,128651
2017-09-01,57,385954
2017-10-01,31,209904
2017-11-01,24,162507
2017-12-01,19,128651
2018-01-01,22,148964
2018-02-01,23,155735
2018-03-01,20,135422
2018-04-01,19,128651
2018-05-01,23,155735
2018-06-01,18,121880
2018-07-01,15,101566
2018-08-01,17,115109
2018-09-01,27,182820
2018-10-01,28,189591
2018-11-01,23,155735
2018-12-01,18,121880
2019-01-01,21,142193
2019-02-01,23,155735
2019-03-01,22,148964
2019-04-01,20,135422
2019-05-01,21,142193
2019-06-01,20,135422
2019-07-01,16,108338
2019-08-01,16,108338
2019-09-01,25,169278
2019-10-01,24,162507
2019-11-01,22,148964
2019-12-01,17,115109
2020-01-01,24,162507
2020-02-01,23,155735
2020-03-01,22,148964
2020-04-01,22,148964
2020-05-01,18,121880
2020-06-01,16,108338
2020-07-01,11,74482
2020-08-01,15,101566
2020-09-01,24,162507
2020-10-01,20,135422
2020-11-01,17,115109
2020-12-01,15,101566
2021-01-01,16,108338
2021-02-01,19,128651
2021-03-01,18,121880
2021-04-01,15,101566
2021-05-01,17,115109
2021-06-01,16,108338
2021-07-01,14,94795
2021-08-01,15,101566
2021-09-01,20,135422
2021-10-01,21,142193
2021-11-01,19,128651
2021-12-01,18,121880
2022-01-01,23,155735
2022-02-01,29,196362
2022-03-01,31,209904
2022-04-01,25,169278
2022-05-01,30,203133
2022-06-01,22,148964
2022-07-01,13,88024
2022-08-01,15,101566
2022-09-01,27,182820
2022-10-01,28,189591
2022-11-01,26,176049
2022-12-01,19,128651
2023-01-01,24,162507
2023-02-01,34,230218
2023-03-01,28,189591
2023-04-01,23,155735
2023-05-01,25,169278
2023-06-01,20,135422
2023-07-01,16,108338
