Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,0,0
2004-02-01,6,4403
2004-03-01,12,8806
2004-04-01,0,0
2004-05-01,12,8806
2004-06-01,16,11741
2004-07-01,14,10274
2004-08-01,0,0
2004-09-01,8,5870
2004-10-01,17,12475
2004-11-01,12,8806
2004-12-01,7,5137
2005-01-01,0,0
2005-02-01,9,6604
2005-03-01,5,3669
2005-04-01,12,8806
2005-05-01,0,0
2005-06-01,13,9540
2005-07-01,0,0
2005-08-01,5,3669
2005-09-01,15,11007
2005-10-01,22,16145
2005-11-01,21,15411
2005-12-01,21,15411
2006-01-01,16,11741
2006-02-01,28,20548
2006-03-01,24,17612
2006-04-01,17,12475
2006-05-01,32,23483
2006-06-01,60,44031
2006-07-01,45,33023
2006-08-01,38,27886
2006-09-01,56,41096
2006-10-01,62,45499
2006-11-01,62,45499
2006-12-01,62,45499
2007-01-01,92,67515
2007-02-01,92,67515
2007-03-01,100,73386
2007-04-01,79,57975
2007-05-01,86,63112
2007-06-01,86,63112
2007-07-01,81,59443
2007-08-01,61,44765
2007-09-01,75,55039
2007-10-01,63,46233
2007-11-01,58,42564
2007-12-01,48,35225
2008-01-01,55,40362
2008-02-01,57,41830
2008-03-01,45,33023
2008-04-01,55,40362
2008-05-01,48,35225
2008-06-01,46,33757
2008-07-01,40,29354
2008-08-01,36,26419
2008-09-01,45,33023
2008-10-01,41,30088
2008-11-01,37,27153
2008-12-01,29,21282
2009-01-01,32,23483
2009-02-01,26,19080
2009-03-01,36,26419
2009-04-01,36,26419
2009-05-01,36,26419
2009-06-01,31,22749
2009-07-01,28,20548
2009-08-01,21,15411
2009-09-01,27,19814
2009-10-01,33,24217
2009-11-01,34,24951
2009-12-01,27,19814
2010-01-01,26,19080
2010-02-01,33,24217
2010-03-01,28,20548
2010-04-01,24,17612
2010-05-01,24,17612
2010-06-01,24,17612
2010-07-01,20,14677
2010-08-01,18,13209
2010-09-01,26,19080
2010-10-01,23,16878
2010-11-01,21,15411
2010-12-01,16,11741
2011-01-01,19,13943
2011-02-01,20,14677
2011-03-01,22,16145
2011-04-01,21,15411
2011-05-01,20,14677
2011-06-01,16,11741
2011-07-01,17,12475
2011-08-01,15,11007
2011-09-01,19,13943
2011-10-01,21,15411
2011-11-01,20,14677
2011-12-01,16,11741
2012-01-01,16,11741
2012-02-01,18,13209
2012-03-01,20,14677
2012-04-01,19,13943
2012-05-01,19,13943
2012-06-01,15,11007
2012-07-01,14,10274
2012-08-01,14,10274
2012-09-01,21,15411
2012-10-01,19,13943
2012-11-01,19,13943
2012-12-01,15,11007
2013-01-01,17,12475
2013-02-01,17,12475
2013-03-01,17,12475
2013-04-01,19,13943
2013-05-01,16,11741
2013-06-01,14,10274
2013-07-01,9,6604
2013-08-01,11,8072
2013-09-01,22,16145
2013-10-01,18,13209
2013-11-01,18,13209
2013-12-01,10,7338
2014-01-01,14,10274
2014-02-01,17,12475
2014-03-01,16,11741
2014-04-01,16,11741
2014-05-01,14,10274
2014-06-01,13,9540
2014-07-01,10,7338
2014-08-01,9,6604
2014-09-01,20,14677
2014-10-01,17,12475
2014-11-01,16,11741
2014-12-01,14,10274
2015-01-01,15,11007
2015-02-01,17,12475
2015-03-01,15,11007
2015-04-01,17,12475
2015-05-01,13,9540
2015-06-01,11,8072
2015-07-01,9,6604
2015-08-01,9,6604
2015-09-01,19,13943
2015-10-01,17,12475
2015-11-01,15,11007
2015-12-01,14,10274
2016-01-01,14,10274
2016-02-01,20,14677
2016-03-01,19,13943
2016-04-01,19,13943
2016-05-01,17,12475
2016-06-01,12,8806
2016-07-01,12,8806
2016-08-01,10,7338
2016-09-01,21,15411
2016-10-01,21,15411
2016-11-01,19,13943
2016-12-01,16,11741
2017-01-01,16,11741
2017-02-01,20,14677
2017-03-01,19,13943
2017-04-01,16,11741
2017-05-01,20,14677
2017-06-01,16,11741
2017-07-01,13,9540
2017-08-01,13,9540
2017-09-01,21,15411
2017-10-01,19,13943
2017-11-01,19,13943
2017-12-01,13,9540
2018-01-01,16,11741
2018-02-01,21,15411
2018-03-01,18,13209
2018-04-01,20,14677
2018-05-01,17,12475
2018-06-01,12,8806
2018-07-01,10,7338
2018-08-01,14,10274
2018-09-01,25,18346
2018-10-01,29,21282
2018-11-01,23,16878
2018-12-01,19,13943
2019-01-01,19,13943
2019-02-01,21,15411
2019-03-01,23,16878
2019-04-01,27,19814
2019-05-01,26,19080
2019-06-01,26,19080
2019-07-01,23,16878
2019-08-01,27,19814
2019-09-01,42,30822
2019-10-01,39,28620
2019-11-01,43,31556
2019-12-01,35,25685
2020-01-01,46,33757
2020-02-01,53,38894
2020-03-01,34,24951
2020-04-01,27,19814
2020-05-01,27,19814
2020-06-01,26,19080
2020-07-01,35,25685
2020-08-01,34,24951
2020-09-01,59,43298
2020-10-01,56,41096
2020-11-01,48,35225
2020-12-01,43,31556
2021-01-01,47,34491
2021-02-01,56,41096
2021-03-01,52,38160
2021-04-01,55,40362
2021-05-01,52,38160
2021-06-01,49,35959
2021-07-01,42,30822
2021-08-01,45,33023
2021-09-01,60,44031
2021-10-01,71,52104
2021-11-01,74,54306
2021-12-01,49,35959
2022-01-01,57,41830
2022-02-01,68,49902
2022-03-01,68,49902
2022-04-01,69,50636
2022-05-01,60,44031
2022-06-01,55,40362
2022-07-01,53,38894
2022-08-01,53,38894
2022-09-01,71,52104
2022-10-01,62,45499
2022-11-01,65,47701
2022-12-01,51,37427
2023-01-01,60,44031
2023-02-01,62,45499
2023-03-01,56,41096
2023-04-01,51,37427
2023-05-01,56,41096
2023-06-01,47,34491
2023-07-01,37,27153
