Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,0,0
2004-02-01,0,0
2004-03-01,0,0
2004-04-01,0,0
2004-05-01,14,6812
2004-06-01,0,0
2004-07-01,0,0
2004-08-01,12,5839
2004-09-01,15,7299
2004-10-01,14,6812
2004-11-01,0,0
2004-12-01,0,0
2005-01-01,5,2433
2005-02-01,0,0
2005-03-01,0,0
2005-04-01,0,0
2005-05-01,6,2919
2005-06-01,0,0
2005-07-01,0,0
2005-08-01,0,0
2005-09-01,0,0
2005-10-01,5,2433
2005-11-01,0,0
2005-12-01,0,0
2006-01-01,0,0
2006-02-01,6,2919
2006-03-01,3,1459
2006-04-01,9,4379
2006-05-01,22,10706
2006-06-01,82,39904
2006-07-01,77,37471
2006-08-01,32,15572
2006-09-01,44,21412
2006-10-01,45,21898
2006-11-01,52,25305
2006-12-01,76,36984
2007-01-01,100,48664
2007-02-01,69,33578
2007-03-01,81,39417
2007-04-01,57,27738
2007-05-01,48,23358
2007-06-01,37,18005
2007-07-01,57,27738
2007-08-01,31,15085
2007-09-01,22,10706
2007-10-01,42,20438
2007-11-01,39,18978
2007-12-01,27,13139
2008-01-01,22,10706
2008-02-01,19,9246
2008-03-01,14,6812
2008-04-01,29,14112
2008-05-01,29,14112
2008-06-01,17,8272
2008-07-01,14,6812
2008-08-01,19,9246
2008-09-01,16,7786
2008-10-01,25,12166
2008-11-01,24,11679
2008-12-01,26,12652
2009-01-01,22,10706
2009-02-01,15,7299
2009-03-01,16,7786
2009-04-01,19,9246
2009-05-01,14,6812
2009-06-01,15,7299
2009-07-01,13,6326
2009-08-01,10,4866
2009-09-01,18,8759
2009-10-01,13,6326
2009-11-01,19,9246
2009-12-01,21,10219
2010-01-01,10,4866
2010-02-01,17,8272
2010-03-01,12,5839
2010-04-01,12,5839
2010-05-01,13,6326
2010-06-01,8,3893
2010-07-01,6,2919
2010-08-01,9,4379
2010-09-01,6,2919
2010-10-01,9,4379
2010-11-01,8,3893
2010-12-01,6,2919
2011-01-01,10,4866
2011-02-01,13,6326
2011-03-01,8,3893
2011-04-01,10,4866
2011-05-01,10,4866
2011-06-01,7,3406
2011-07-01,5,2433
2011-08-01,5,2433
2011-09-01,8,3893
2011-10-01,7,3406
2011-11-01,8,3893
2011-12-01,7,3406
2012-01-01,7,3406
2012-02-01,9,4379
2012-03-01,7,3406
2012-04-01,8,3893
2012-05-01,9,4379
2012-06-01,6,2919
2012-07-01,6,2919
2012-08-01,6,2919
2012-09-01,5,2433
2012-10-01,7,3406
2012-11-01,7,3406
2012-12-01,6,2919
2013-01-01,6,2919
2013-02-01,7,3406
2013-03-01,6,2919
2013-04-01,6,2919
2013-05-01,7,3406
2013-06-01,4,1946
2013-07-01,3,1459
2013-08-01,4,1946
2013-09-01,4,1946
2013-10-01,5,2433
2013-11-01,6,2919
2013-12-01,5,2433
2014-01-01,4,1946
2014-02-01,5,2433
2014-03-01,6,2919
2014-04-01,8,3893
2014-05-01,6,2919
2014-06-01,5,2433
2014-07-01,4,1946
2014-08-01,4,1946
2014-09-01,8,3893
2014-10-01,6,2919
2014-11-01,6,2919
2014-12-01,5,2433
2015-01-01,4,1946
2015-02-01,5,2433
2015-03-01,6,2919
2015-04-01,8,3893
2015-05-01,7,3406
2015-06-01,6,2919
2015-07-01,4,1946
2015-08-01,3,1459
2015-09-01,9,4379
2015-10-01,9,4379
2015-11-01,9,4379
2015-12-01,9,4379
2016-01-01,8,3893
2016-02-01,8,3893
2016-03-01,9,4379
2016-04-01,9,4379
2016-05-01,8,3893
2016-06-01,5,2433
2016-07-01,6,2919
2016-08-01,5,2433
2016-09-01,7,3406
2016-10-01,9,4379
2016-11-01,8,3893
2016-12-01,6,2919
2017-01-01,7,3406
2017-02-01,8,3893
2017-03-01,9,4379
2017-04-01,9,4379
2017-05-01,7,3406
2017-06-01,5,2433
2017-07-01,5,2433
2017-08-01,7,3406
2017-09-01,7,3406
2017-10-01,7,3406
2017-11-01,8,3893
2017-12-01,6,2919
2018-01-01,7,3406
2018-02-01,7,3406
2018-03-01,6,2919
2018-04-01,7,3406
2018-05-01,8,3893
2018-06-01,5,2433
2018-07-01,4,1946
2018-08-01,5,2433
2018-09-01,6,2919
2018-10-01,14,6812
2018-11-01,9,4379
2018-12-01,10,4866
2019-01-01,10,4866
2019-02-01,14,6812
2019-03-01,16,7786
2019-04-01,16,7786
2019-05-01,25,12166
2019-06-01,23,11192
2019-07-01,25,12166
2019-08-01,27,13139
2019-09-01,73,35524
2019-10-01,45,21898
2019-11-01,43,20925
2019-12-01,37,18005
2020-01-01,42,20438
2020-02-01,35,17032
2020-03-01,26,12652
2020-04-01,25,12166
2020-05-01,20,9732
2020-06-01,21,10219
2020-07-01,18,8759
2020-08-01,17,8272
2020-09-01,29,14112
2020-10-01,24,11679
2020-11-01,22,10706
2020-12-01,20,9732
2021-01-01,36,17519
2021-02-01,34,16545
2021-03-01,25,12166
2021-04-01,35,17032
2021-05-01,26,12652
2021-06-01,23,11192
2021-07-01,29,14112
2021-08-01,37,18005
2021-09-01,34,16545
2021-10-01,40,19465
2021-11-01,49,23845
2021-12-01,29,14112
2022-01-01,37,18005
2022-02-01,43,20925
2022-03-01,79,38444
2022-04-01,58,28225
2022-05-01,52,25305
2022-06-01,36,17519
2022-07-01,40,19465
2022-08-01,37,18005
2022-09-01,47,22872
2022-10-01,51,24818
2022-11-01,53,25791
2022-12-01,37,18005
2023-01-01,43,20925
2023-02-01,39,18978
2023-03-01,43,20925
2023-04-01,41,19952
2023-05-01,39,18978
2023-06-01,34,16545
2023-07-01,25,12166
