Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,26,77614
2004-02-01,31,92540
2004-03-01,32,95526
2004-04-01,29,86570
2004-05-01,35,104481
2004-06-01,23,68659
2004-07-01,22,65674
2004-08-01,22,65674
2004-09-01,40,119407
2004-10-01,37,110452
2004-11-01,25,74629
2004-12-01,84,250756
2005-01-01,100,298519
2005-02-01,59,176126
2005-03-01,35,104481
2005-04-01,42,125378
2005-05-01,38,113437
2005-06-01,29,86570
2005-07-01,22,65674
2005-08-01,33,98511
2005-09-01,86,256726
2005-10-01,72,214933
2005-11-01,58,173141
2005-12-01,35,104481
2006-01-01,34,101496
2006-02-01,41,122392
2006-03-01,35,104481
2006-04-01,39,116422
2006-05-01,37,110452
2006-06-01,31,92540
2006-07-01,24,71644
2006-08-01,28,83585
2006-09-01,30,89555
2006-10-01,34,101496
2006-11-01,32,95526
2006-12-01,26,77614
2007-01-01,26,77614
2007-02-01,26,77614
2007-03-01,30,89555
2007-04-01,28,83585
2007-05-01,33,98511
2007-06-01,26,77614
2007-07-01,21,62689
2007-08-01,21,62689
2007-09-01,25,74629
2007-10-01,31,92540
2007-11-01,28,83585
2007-12-01,23,68659
2008-01-01,24,71644
2008-02-01,27,80600
2008-03-01,24,71644
2008-04-01,27,80600
2008-05-01,40,119407
2008-06-01,31,92540
2008-07-01,24,71644
2008-08-01,25,74629
2008-09-01,35,104481
2008-10-01,36,107466
2008-11-01,31,92540
2008-12-01,23,68659
2009-01-01,24,71644
2009-02-01,30,89555
2009-03-01,32,95526
2009-04-01,26,77614
2009-05-01,25,74629
2009-06-01,21,62689
2009-07-01,18,53733
2009-08-01,20,59703
2009-09-01,26,77614
2009-10-01,32,95526
2009-11-01,25,74629
2009-12-01,20,59703
2010-01-01,36,107466
2010-02-01,29,86570
2010-03-01,29,86570
2010-04-01,31,92540
2010-05-01,30,89555
2010-06-01,26,77614
2010-07-01,18,53733
2010-08-01,22,65674
2010-09-01,26,77614
2010-10-01,25,74629
2010-11-01,26,77614
2010-12-01,18,53733
2011-01-01,26,77614
2011-02-01,28,83585
2011-03-01,56,167170
2011-04-01,35,104481
2011-05-01,37,110452
2011-06-01,30,89555
2011-07-01,22,65674
2011-08-01,27,80600
2011-09-01,36,107466
2011-10-01,42,125378
2011-11-01,38,113437
2011-12-01,28,83585
2012-01-01,28,83585
2012-02-01,28,83585
2012-03-01,26,77614
2012-04-01,25,74629
2012-05-01,27,80600
2012-06-01,21,62689
2012-07-01,20,59703
2012-08-01,21,62689
2012-09-01,25,74629
2012-10-01,31,92540
2012-11-01,31,92540
2012-12-01,21,62689
2013-01-01,24,71644
2013-02-01,24,71644
2013-03-01,21,62689
2013-04-01,22,65674
2013-05-01,27,80600
2013-06-01,27,80600
2013-07-01,24,71644
2013-08-01,23,68659
2013-09-01,26,77614
2013-10-01,29,86570
2013-11-01,34,101496
2013-12-01,21,62689
2014-01-01,24,71644
2014-02-01,26,77614
2014-03-01,24,71644
2014-04-01,25,74629
2014-05-01,28,83585
2014-06-01,27,80600
2014-07-01,20,59703
2014-08-01,21,62689
2014-09-01,26,77614
2014-10-01,26,77614
2014-11-01,26,77614
2014-12-01,22,65674
2015-01-01,23,68659
2015-02-01,23,68659
2015-03-01,25,74629
2015-04-01,30,89555
2015-05-01,35,104481
2015-06-01,32,95526
2015-07-01,23,68659
2015-08-01,24,71644
2015-09-01,26,77614
2015-10-01,30,89555
2015-11-01,28,83585
2015-12-01,23,68659
2016-01-01,27,80600
2016-02-01,26,77614
2016-03-01,25,74629
2016-04-01,26,77614
2016-05-01,31,92540
2016-06-01,28,83585
2016-07-01,21,62689
2016-08-01,21,62689
2016-09-01,26,77614
2016-10-01,33,98511
2016-11-01,29,86570
2016-12-01,24,71644
2017-01-01,27,80600
2017-02-01,31,92540
2017-03-01,27,80600
2017-04-01,25,74629
2017-05-01,28,83585
2017-06-01,27,80600
2017-07-01,22,65674
2017-08-01,33,98511
2017-09-01,54,161200
2017-10-01,38,113437
2017-11-01,34,101496
2017-12-01,28,83585
2018-01-01,29,86570
2018-02-01,30,89555
2018-03-01,27,80600
2018-04-01,27,80600
2018-05-01,31,92540
2018-06-01,28,83585
2018-07-01,25,74629
2018-08-01,29,86570
2018-09-01,37,110452
2018-10-01,36,107466
2018-11-01,33,98511
2018-12-01,26,77614
2019-01-01,29,86570
2019-02-01,31,92540
2019-03-01,30,89555
2019-04-01,28,83585
2019-05-01,31,92540
2019-06-01,31,92540
2019-07-01,26,77614
2019-08-01,25,74629
2019-09-01,32,95526
2019-10-01,27,80600
2019-11-01,29,86570
2019-12-01,25,74629
2020-01-01,29,86570
2020-02-01,33,98511
2020-03-01,35,104481
2020-04-01,35,104481
2020-05-01,30,89555
2020-06-01,27,80600
2020-07-01,22,65674
2020-08-01,27,80600
2020-09-01,33,98511
2020-10-01,36,107466
2020-11-01,31,92540
2020-12-01,28,83585
2021-01-01,31,92540
2021-02-01,40,119407
2021-03-01,32,95526
2021-04-01,31,92540
2021-05-01,33,98511
2021-06-01,26,77614
2021-07-01,25,74629
2021-08-01,25,74629
2021-09-01,34,101496
2021-10-01,36,107466
2021-11-01,33,98511
2021-12-01,31,92540
2022-01-01,41,122392
2022-02-01,60,179111
2022-03-01,57,170155
2022-04-01,46,137318
2022-05-01,44,131348
2022-06-01,48,143289
2022-07-01,32,95526
2022-08-01,31,92540
2022-09-01,50,149259
2022-10-01,50,149259
2022-11-01,44,131348
2022-12-01,35,104481
2023-01-01,45,134333
2023-02-01,63,188067
2023-03-01,49,146274
2023-04-01,39,116422
2023-05-01,49,146274
2023-06-01,46,137318
2023-07-01,42,125378
