"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2023","1,595.2181","1,595.2181","1,595.2181","1,595.2181","","1.00%"
"06/14/2023","1,579.4904","1,579.4904","1,579.4904","1,579.4904","","-0.60%"
"06/13/2023","1,588.9938","1,588.9938","1,588.9938","1,588.9938","","0.25%"
"06/12/2023","1,584.9741","1,584.9741","1,584.9741","1,584.9741","","0.91%"
"06/09/2023","1,570.6659","1,570.6659","1,570.6659","1,570.6659","","-0.24%"
"06/08/2023","1,574.4647","1,574.4647","1,574.4647","1,574.4647","","0.17%"
"06/07/2023","1,571.7177","1,571.7177","1,571.7177","1,571.7177","","-0.09%"
"06/06/2023","1,573.0747","1,573.0747","1,573.0747","1,573.0747","","-0.01%"
"06/05/2023","1,573.2678","1,573.2678","1,573.2678","1,573.2678","","-0.32%"
"06/02/2023","1,578.2607","1,578.2607","1,578.2607","1,578.2607","","0.78%"
"06/01/2023","1,566.0154","1,566.0154","1,566.0154","1,566.0154","","1.36%"
"05/31/2023","1,545.0260","1,545.0260","1,545.0260","1,545.0260","","-1.31%"
"05/30/2023","1,565.6106","1,565.6106","1,565.6106","1,565.6106","","0.70%"
"05/29/2023","1,554.6805","1,554.6805","1,554.6805","1,554.6805","","-0.44%"
"05/26/2023","1,561.6265","1,561.6265","1,561.6265","1,561.6265","","-0.26%"
"05/25/2023","1,565.7485","1,565.7485","1,565.7485","1,565.7485","","-0.10%"
"05/24/2023","1,567.2551","1,567.2551","1,567.2551","1,567.2551","","-0.68%"
"05/23/2023","1,578.0114","1,578.0114","1,578.0114","1,578.0114","","-0.59%"
"05/22/2023","1,587.4380","1,587.4380","1,587.4380","1,587.4380","","1.12%"
"05/19/2023","1,569.8805","1,569.8805","1,569.8805","1,569.8805","","-0.49%"
"05/18/2023","1,577.5540","1,577.5540","1,577.5540","1,577.5540","","-0.98%"
"05/17/2023","1,593.1707","1,593.1707","1,593.1707","1,593.1707","","-0.03%"
"05/16/2023","1,593.7069","1,593.7069","1,593.7069","1,593.7069","","-1.65%"
"05/15/2023","1,620.4312","1,620.4312","1,620.4312","1,620.4312","","0.88%"
"05/12/2023","1,606.2501","1,606.2501","1,606.2501","1,606.2501","","2.94%"
"05/11/2023","1,560.3982","1,560.3982","1,560.3982","1,560.3982","","-0.26%"
"05/10/2023","1,564.4343","1,564.4343","1,564.4343","1,564.4343","","0.57%"
"05/09/2023","1,555.5632","1,555.5632","1,555.5632","1,555.5632","","-0.76%"
"05/08/2023","1,567.4056","1,567.4056","1,567.4056","1,567.4056","","0.15%"
"05/05/2023","1,565.0784","1,565.0784","1,565.0784","1,565.0784","","1.41%"
