"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","424.01","414.18","424.43","410.80","","2.38%"
"12/29/2022","414.13","417.09","417.09","405.74","","-0.70%"
"12/28/2022","417.04","421.21","421.85","408.38","","-0.70%"
"12/27/2022","420.00","427.66","428.61","418.26","","0.01%"
"12/23/2022","419.96","409.03","423.92","409.03","","2.68%"
"12/22/2022","408.98","414.15","421.54","406.61","","-1.01%"
"12/21/2022","413.15","401.97","414.11","400.07","","2.71%"
"12/20/2022","402.24","400.39","405.88","392.95","","1.14%"
"12/19/2022","397.70","396.23","403.98","390.64","","1.27%"
"12/16/2022","392.71","402.15","403.89","387.28","","-2.21%"
"12/15/2022","401.58","407.69","410.38","397.88","","-1.49%"
"12/14/2022","407.64","397.78","409.96","395.25","","2.49%"
"12/13/2022","397.74","386.29","402.33","386.29","","2.98%"
"12/12/2022","386.24","375.15","390.15","371.25","","2.99%"
"12/09/2022","375.02","380.30","384.56","370.30","","-0.56%"
"12/08/2022","377.15","380.21","397.55","375.46","","-0.79%"
"12/07/2022","380.16","391.99","397.90","378.84","","-3.00%"
"12/06/2022","391.94","408.57","411.05","387.67","","-3.47%"
"12/05/2022","406.04","428.31","436.54","405.24","","-3.78%"
"12/02/2022","421.98","429.05","433.64","420.40","","-1.51%"
"12/01/2022","428.47","424.99","439.60","421.88","","0.84%"
"11/30/2022","424.89","415.45","429.05","413.55","","3.02%"
"11/29/2022","412.44","403.64","419.61","402.42","","1.25%"
"11/28/2022","407.33","401.06","410.39","388.14","","1.29%"
"11/25/2022","402.13","410.88","421.16","401.86","","-2.11%"
"11/23/2022","410.78","426.64","431.91","405.04","","-3.71%"
"11/22/2022","426.59","423.33","434.02","420.85","","1.15%"
"11/21/2022","421.75","422.59","424.12","396.77","","-0.05%"
"11/18/2022","421.97","431.08","434.19","408.86","","-1.57%"
"11/17/2022","428.71","445.88","446.99","427.71","","-4.22%"
"11/16/2022","447.62","454.20","457.52","440.67","","-1.44%"
"11/15/2022","454.15","448.41","463.31","439.93","","1.29%"
"11/14/2022","448.36","464.15","468.73","447.78","","-3.37%"
"11/11/2022","463.99","450.20","469.49","450.13","","2.92%"
"11/10/2022","450.82","447.34","455.04","441.71","","0.78%"
"11/09/2022","447.35","463.73","464.26","446.69","","-3.43%"
"11/08/2022","463.24","478.12","480.09","462.14","","-3.10%"
"11/07/2022","478.06","472.39","488.22","472.23","","-0.85%"
"11/04/2022","482.17","457.91","482.43","457.39","","5.05%"
"11/03/2022","459.00","468.53","468.53","456.14","","-2.02%"
"11/02/2022","468.48","459.99","470.19","456.87","","1.86%"
"11/01/2022","459.94","448.28","465.46","447.19","","2.14%"
"10/31/2022","450.31","459.78","460.77","444.07","","-1.53%"
"10/28/2022","457.29","460.88","461.61","453.08","","-1.31%"
"10/27/2022","463.37","457.29","467.07","454.48","","1.34%"
"10/26/2022","457.24","441.58","459.73","437.84","","3.05%"
"10/25/2022","443.72","441.74","447.36","432.07","","0.89%"
"10/24/2022","439.82","442.27","446.42","429.89","","-0.52%"
"10/21/2022","442.12","439.32","446.44","432.25","","0.65%"
"10/20/2022","439.27","439.32","452.94","437.55","","0.00%"
"10/19/2022","439.27","429.51","441.82","424.98","","3.00%"
"10/18/2022","426.50","439.28","444.37","422.76","","-2.90%"
"10/17/2022","439.23","439.86","447.65","435.02","","-0.11%"
"10/14/2022","439.73","456.87","459.73","437.60","","-3.74%"
"10/13/2022","456.82","447.08","459.17","438.57","","2.19%"
"10/12/2022","447.04","457.26","460.83","441.97","","-2.22%"
"10/11/2022","457.21","466.56","467.74","452.32","","-1.99%"
"10/10/2022","466.52","473.12","479.20","466.16","","-1.61%"
"10/07/2022","474.14","452.70","475.16","450.49","","4.75%"
"10/06/2022","452.65","450.25","454.29","445.54","","0.80%"
"10/05/2022","449.08","441.87","452.46","437.62","","1.44%"
"10/04/2022","442.69","427.91","444.89","426.22","","3.46%"
"10/03/2022","427.87","419.73","432.58","416.15","","5.24%"
"09/30/2022","406.58","415.48","422.02","404.89","","-2.13%"
"09/29/2022","415.44","418.30","424.13","410.94","","-1.11%"
"09/28/2022","420.11","401.44","420.52","391.73","","4.66%"
"09/27/2022","401.40","391.43","406.16","391.23","","2.34%"
"09/26/2022","392.22","406.38","410.57","391.20","","-2.55%"
"09/23/2022","402.48","426.76","428.91","399.42","","-5.68%"
"09/22/2022","426.72","423.20","439.35","421.26","","0.67%"
"09/21/2022","423.88","429.09","442.83","421.73","","-1.18%"
"09/20/2022","428.95","436.20","440.08","424.30","","-1.65%"
"09/19/2022","436.16","436.16","438.82","417.82","","0.73%"
"09/16/2022","432.98","432.42","440.08","428.44","","0.14%"
"09/15/2022","432.39","449.75","452.97","429.68","","-3.85%"
"09/14/2022","449.71","443.78","457.79","438.08","","1.34%"
"09/13/2022","443.75","446.29","453.87","432.42","","-0.56%"
"09/12/2022","446.26","441.09","452.57","432.96","","1.20%"
"09/09/2022","440.98","424.41","442.85","420.87","","5.95%"
"09/07/2022","416.22","441.31","445.63","415.40","","-5.68%"
"09/06/2022","441.27","441.22","454.37","437.77","","0.04%"
"09/02/2022","441.08","439.76","454.94","438.54","","0.31%"
"09/01/2022","439.72","454.65","455.05","436.63","","-3.28%"
"08/31/2022","454.61","465.22","470.70","448.27","","-2.27%"
"08/30/2022","465.18","492.44","495.64","459.70","","-5.53%"
"08/29/2022","492.40","472.35","494.18","470.93","","4.27%"
"08/26/2022","472.25","471.89","477.07","462.25","","0.59%"
"08/25/2022","469.47","483.27","485.71","468.91","","-2.49%"
"08/24/2022","481.46","475.42","483.18","470.90","","1.23%"
"08/23/2022","475.59","458.44","477.82","458.44","","3.75%"
"08/22/2022","458.40","458.81","461.75","437.81","","-0.07%"
"08/19/2022","458.71","457.04","464.90","446.13","","0.37%"
"08/18/2022","457.00","444.73","461.62","441.59","","2.77%"
"08/17/2022","444.70","436.94","449.31","433.54","","1.78%"
"08/16/2022","436.91","450.55","456.53","432.90","","-3.02%"
"08/15/2022","450.52","463.75","463.75","437.59","","-2.83%"
"08/12/2022","463.65","474.14","476.63","459.14","","-2.21%"
"08/11/2022","474.11","462.24","477.39","459.05","","2.58%"
"08/10/2022","462.20","454.78","464.49","441.09","","1.66%"
"08/09/2022","454.64","454.99","465.15","447.75","","-0.28%"
"08/08/2022","455.92","446.18","456.49","438.19","","2.01%"
"08/05/2022","446.92","441.75","455.61","437.03","","0.54%"
"08/04/2022","444.53","455.17","461.25","439.86","","-2.33%"
"08/03/2022","455.14","470.81","484.66","454.29","","-3.98%"
"08/02/2022","473.99","471.33","483.98","464.90","","0.57%"
"08/01/2022","471.29","495.03","495.03","464.01","","-4.78%"
"07/29/2022","494.93","483.89","511.14","483.84","","2.29%"
"07/28/2022","483.86","488.07","500.92","482.10","","-0.86%"
"07/27/2022","488.04","476.60","491.70","473.43","","2.41%"
"07/26/2022","476.56","485.19","496.63","475.76","","-1.77%"
"07/25/2022","485.16","475.12","486.16","466.80","","2.13%"
"07/22/2022","475.03","484.00","491.28","472.82","","-1.71%"
"07/21/2022","483.27","500.97","500.97","474.59","","-3.53%"
"07/20/2022","500.94","505.25","505.25","492.51","","-0.85%"
"07/19/2022","505.22","498.60","506.37","484.15","","1.33%"
"07/18/2022","498.56","474.24","499.02","465.82","","5.15%"
"07/15/2022","474.16","465.44","481.43","459.62","","1.88%"
"07/14/2022","465.41","469.60","473.23","442.08","","-0.95%"
"07/13/2022","469.89","467.43","477.61","456.78","","0.53%"
"07/12/2022","467.40","503.61","503.75","466.65","","-7.87%"
"07/11/2022","507.34","507.97","511.80","491.90","","-0.58%"
"07/08/2022","510.32","500.29","512.41","494.54","","2.01%"
"07/07/2022","500.26","478.35","508.69","470.32","","4.27%"
"07/06/2022","479.79","484.51","497.32","463.38","","-0.97%"
"07/05/2022","484.48","527.96","542.57","474.65","","-8.22%"
"07/01/2022","527.86","514.86","532.10","509.02","","2.53%"
"06/30/2022","514.84","533.92","537.62","511.67","","-3.66%"
"06/29/2022","534.38","544.02","554.73","533.07","","-1.77%"
"06/28/2022","543.99","533.33","546.18","533.33","","2.00%"
"06/27/2022","533.31","518.02","537.64","513.98","","1.83%"
"06/24/2022","523.74","508.27","528.17","504.42","","3.22%"
"06/23/2022","507.42","508.00","520.60","498.02","","-1.80%"
"06/22/2022","516.74","532.94","532.94","494.30","","-3.04%"
"06/21/2022","532.91","525.47","540.80","525.47","","1.44%"
"06/17/2022","525.37","560.69","567.07","517.88","","-6.29%"
"06/16/2022","560.67","550.16","562.66","537.32","","1.91%"
"06/15/2022","550.13","565.55","568.81","549.11","","-2.72%"
"06/14/2022","565.53","575.21","587.81","564.26","","-1.68%"
"06/13/2022","575.18","565.87","581.53","558.87","","0.14%"
"06/10/2022","574.37","578.14","584.21","563.30","","-0.76%"
"06/09/2022","578.77","581.83","584.76","575.63","","-0.52%"
"06/08/2022","581.81","568.91","586.66","568.41","","2.27%"
"06/07/2022","568.89","564.56","572.80","558.79","","0.77%"
"06/06/2022","564.54","573.78","574.30","560.49","","-0.30%"
"06/03/2022","566.25","558.44","568.82","549.05","","1.71%"
"06/02/2022","556.70","539.98","559.94","529.79","","1.40%"
"06/01/2022","549.02","548.45","561.40","545.92","","0.52%"
"05/31/2022","546.19","559.34","571.48","543.91","","-0.34%"
"05/27/2022","548.03","543.36","549.03","537.70","","0.86%"
"05/26/2022","543.35","525.44","546.68","525.25","","3.41%"
"05/25/2022","525.43","522.76","531.71","520.28","","0.51%"
"05/24/2022","522.74","525.22","530.46","517.22","","-0.47%"
"05/23/2022","525.21","525.16","532.63","519.97","","0.02%"
"05/20/2022","525.11","523.26","528.59","514.92","","0.36%"
"05/19/2022","523.24","509.67","523.72","491.67","","2.67%"
"05/18/2022","509.65","521.99","535.03","506.61","","-2.36%"
"05/17/2022","521.97","532.40","538.87","520.92","","-1.96%"
"05/16/2022","532.38","520.81","535.38","505.96","","2.94%"
"05/13/2022","517.16","497.02","517.73","497.02","","4.05%"
"05/12/2022","497.01","495.20","502.43","481.25","","0.37%"
"05/11/2022","495.19","467.17","498.53","461.39","","5.79%"
"05/10/2022","468.09","482.50","488.58","464.27","","-3.24%"
"05/09/2022","483.77","515.08","518.03","480.83","","-6.07%"
"05/06/2022","515.04","507.95","521.61","503.31","","1.40%"
"05/05/2022","507.94","505.83","522.39","499.68","","0.42%"
"05/04/2022","505.82","480.48","508.12","480.48","","5.28%"
"05/03/2022","480.47","493.42","496.33","479.16","","-2.62%"
"05/02/2022","493.41","490.17","495.85","470.47","","0.47%"
"04/29/2022","491.12","494.26","506.51","488.91","","-0.63%"
"04/28/2022","494.25","478.58","495.09","469.76","","3.28%"
"04/27/2022","478.57","477.16","482.93","468.30","","0.32%"
"04/26/2022","477.06","462.23","481.98","455.43","","3.21%"
"04/25/2022","462.22","478.78","478.78","447.12","","-3.45%"
"04/22/2022","478.75","486.81","488.69","474.90","","-1.65%"
"04/21/2022","486.80","479.30","494.26","478.69","","1.57%"
"04/20/2022","479.29","478.63","487.54","468.50","","0.14%"
"04/19/2022","478.62","504.69","507.79","476.23","","-5.16%"
"04/18/2022","504.68","504.12","512.00","494.55","","1.17%"
"04/14/2022","498.87","486.72","501.78","477.11","","2.50%"
"04/13/2022","486.71","469.65","487.35","466.73","","3.64%"
"04/12/2022","469.64","440.33","472.77","440.33","","6.66%"
"04/11/2022","440.32","457.02","457.04","434.22","","-3.98%"
"04/08/2022","458.56","448.15","460.66","444.81","","2.32%"
"04/07/2022","448.14","449.08","461.07","438.02","","-0.21%"
"04/06/2022","449.07","475.81","485.19","447.72","","-5.62%"
"04/05/2022","475.80","481.96","492.74","474.54","","-1.28%"
"04/04/2022","481.95","459.97","483.82","458.29","","4.04%"
"04/01/2022","463.21","467.93","473.01","456.45","","-1.01%"
"03/31/2022","467.92","501.19","502.96","465.26","","-6.99%"
"03/30/2022","503.09","497.03","507.34","488.02","","3.44%"
"03/29/2022","486.38","494.41","503.18","460.39","","-1.62%"
"03/28/2022","494.40","518.33","518.33","487.63","","-6.97%"
"03/25/2022","531.42","520.51","532.22","507.49","","1.39%"
"03/24/2022","524.14","534.87","544.20","521.43","","-2.25%"
"03/23/2022","536.22","509.81","538.36","505.70","","5.18%"
"03/22/2022","509.80","513.07","528.84","499.96","","-0.64%"
"03/21/2022","513.06","480.96","513.53","480.96","","6.68%"
"03/18/2022","480.95","474.23","488.22","471.01","","1.42%"
"03/17/2022","474.22","436.62","476.32","436.62","","8.61%"
