date,open,close,high,low,change
2022-12-30,1476.19,1475.71,1479.61,1469.31,-0.08
2022-12-29,1452.61,1476.87,1478.6,1447.59,1.62
2022-12-28,1472.91,1453.35,1477.45,1446.28,-1.96
2022-12-27,1507.98,1482.38,1513.53,1475.84,-1.56
2022-12-23,1525.14,1505.83,1527.76,1502.22,-1
2022-12-22,1544.65,1521.04,1571.46,1520.64,-1.38
2022-12-21,1536.04,1542.38,1546.05,1530.65,0.2
2022-12-20,1565.05,1539.36,1565.05,1525.05,-2.13
2022-12-19,1565.48,1572.9,1588.41,1565.48,0.28
2022-12-16,1620.13,1568.51,1620.32,1568.51,-3.26
2022-12-15,1660.94,1621.29,1663.89,1621.08,-2.64
2022-12-14,1629.62,1665.26,1665.41,1629.23,1.93
2022-12-13,1613.3,1633.73,1644.34,1606.2,1.24
2022-12-12,1613.14,1613.69,1614.88,1594.8,0.3
2022-12-09,1589.78,1608.79,1612.76,1588.29,0.62
2022-12-08,1601.02,1598.8,1601.02,1583.58,-0.1
2022-12-07,1611.01,1600.48,1611.66,1585.12,-0.91
2022-12-06,1666.74,1615.12,1669.2,1614.99,-3.39
2022-12-05,1668.4,1671.87,1677.02,1659.12,0.37
2022-12-02,1646.64,1665.77,1666.77,1626.47,0.95
2022-12-01,1631.16,1650.08,1670.32,1631.16,2.15
2022-11-30,1601.72,1615.34,1619.55,1591.83,0.66
2022-11-29,1618.65,1604.71,1622.97,1604.71,-1.02
2022-11-28,1651.26,1621.3,1652.59,1620.59,-1.78
2022-11-25,1658.61,1650.76,1660.79,1649.17,-0.61
2022-11-24,1636.17,1660.97,1664.72,1636.12,1.8
2022-11-23,1631.38,1631.59,1637.96,1630.44,0.28
2022-11-22,1623.49,1627.07,1632.48,1612.44,0.1
2022-11-21,1637.05,1625.5,1641.62,1614.69,-0.31
2022-11-18,1630.68,1630.53,1650.95,1627.58,-0.37
2022-11-17,1635.72,1636.6,1636.98,1609.46,-0.48
2022-11-16,1657.05,1644.53,1658.39,1635,-1.46
2022-11-15,1640.33,1668.98,1672.17,1636.51,1.82
2022-11-14,1665.99,1639.19,1665.99,1624.13,-1.61
2022-11-11,1685.48,1666.02,1700.93,1660.09,-0.19
2022-11-10,1575.7,1669.21,1672.43,1559.42,5.67
2022-11-09,1567.03,1579.6,1594.1,1561.16,0.75
2022-11-08,1526.73,1567.78,1572.53,1526.73,3.3
2022-11-07,1541.56,1517.69,1564.36,1517.69,-1.7
2022-11-04,1584.51,1543.98,1608.7,1540.02,-2.21
2022-11-03,1552.2,1578.82,1579.56,1536.44,0.87
2022-11-02,1557.62,1565.23,1578.92,1556.46,-0.13
2022-11-01,1558.65,1567.32,1585.92,1558.65,0.71
2022-10-31,1543.64,1556.24,1556.24,1531.59,1
2022-10-28,1557.56,1540.89,1557.75,1519.64,-1.32
2022-10-27,1534.47,1561.56,1561.57,1531.41,1.53
2022-10-26,1478.52,1538,1553.43,1476.04,4.09
2022-10-25,1444.96,1477.55,1482.71,1440.93,2.58
2022-10-24,1450.57,1440.41,1457.46,1424.7,-0.22
2022-10-21,1439.5,1443.55,1443.55,1426.46,0.54
2022-10-20,1454.12,1435.85,1455.07,1429.36,-2.24
2022-10-19,1503.66,1468.72,1505.71,1468,-2.29
2022-10-18,1472.63,1503.13,1510.1,1472.63,1.94
2022-10-17,1471.7,1474.59,1491.63,1462.14,0.33
2022-10-14,1468.43,1469.74,1511.97,1468.43,0.35
2022-10-13,1492.5,1464.58,1492.87,1445.45,-1.59
2022-10-12,1512.15,1488.28,1519.98,1488.28,-1.63
2022-10-11,1526.37,1512.97,1526.55,1499.01,-0.71
2022-10-10,1543.78,1523.85,1546.99,1519.18,-1.44
2022-10-07,1598.54,1546.04,1598.54,1545.24,-3.65
2022-10-06,1605.44,1604.58,1626.85,1602.39,-0.23
2022-10-05,1689.79,1608.34,1689.79,1598.55,-4.52
2022-10-04,1640.02,1684.43,1692.09,1640.02,2.96
2022-10-03,1635.64,1635.94,1636.09,1600.05,-0.05
2022-09-30,1609.96,1636.68,1638.55,1607.85,1.28
2022-09-29,1707.05,1616.01,1707.05,1616.01,-4.61
2022-09-28,1708.72,1694.09,1709.33,1673.56,-0.78
2022-09-27,1693.23,1707.4,1727.91,1687.8,0.84
2022-09-26,1700.47,1693.11,1715.88,1690.94,-0.03
2022-09-23,1732.19,1693.61,1734.75,1689.18,-2.68
2022-09-22,1822.19,1740.25,1823.01,1738.7,-4.83
2022-09-21,1805.53,1828.5,1833.33,1788.67,1.21
2022-09-20,1845.17,1806.69,1850.5,1806.69,-1.79
2022-09-19,1858.15,1839.61,1861.48,1830.72,-0.72
2022-09-16,1868.81,1853,1868.81,1840.21,-2
2022-09-15,1909.4,1890.85,1915.04,1889.91,-0.18
2022-09-14,1893.65,1894.33,1895.4,1877.73,-0.16
2022-09-13,1907.79,1897.37,1907.79,1867.59,-0.15
2022-09-12,1905.4,1900.17,1914.18,1893.72,-0.06
2022-09-09,1908.97,1901.34,1923.23,1892.2,-0.26
2022-09-08,1880.65,1906.25,1910.94,1880.65,1.83
2022-09-07,1803.1,1871.98,1871.98,1786.91,3.71
2022-09-06,1783.29,1805.08,1807.86,1774.05,1.04
2022-09-05,1781.2,1786.43,1787.8,1768.79,0.15
2022-09-02,1792.93,1783.77,1806.93,1783.5,0.31
2022-09-01,1835,1778.22,1835,1774.12,-3.02
2022-08-31,1840.56,1833.55,1848.97,1831.81,-0.08
2022-08-30,1872.45,1835,1887.75,1833.85,-2.24
2022-08-29,1902.7,1876.97,1902.7,1862.21,-1.58
2022-08-26,1935.29,1907.11,1940.73,1906.41,-1.05
2022-08-25,1898.9,1927.41,1946.62,1897.81,1.52
2022-08-24,1863.21,1898.53,1902.99,1854.31,1.83
2022-08-23,1858.76,1864.36,1876.87,1857.72,0.35
2022-08-22,1879.13,1857.84,1882.21,1844.19,-1.4
2022-08-19,1922.47,1884.17,1922.74,1879.66,-2.35
2022-08-18,1898.42,1929.61,1938.56,1896.74,1.5
2022-08-17,1923.37,1901.04,1925.41,1895.46,-1.32
2022-08-16,1952.5,1926.44,1957.86,1920.83,-1.53
2022-08-15,1926.31,1956.4,1959.36,1926.31,2.1
2022-08-12,1894.76,1916.11,1919.9,1885.48,0.54
2022-08-11,1926.83,1905.81,1932.9,1900.51,-0.48
2022-08-10,1844.4,1914.98,1916.6,1834.7,3.94
2022-08-09,1867.24,1842.39,1867.24,1822.49,-1.75
2022-08-08,1862.15,1875.26,1923.64,1862.15,0.41
2022-08-05,1848.77,1867.6,1890.55,1848.54,1.18
2022-08-04,1817.59,1845.77,1846.32,1815.27,1.58
2022-08-03,1837.86,1816.98,1850.22,1805.66,-2.68
2022-08-02,1832.01,1867.02,1875.63,1801.63,2.27
2022-08-01,1859.35,1825.63,1861.12,1825.58,-1.24
2022-07-29,1806.27,1848.52,1859.19,1806.27,2.56
2022-07-28,1686.79,1802.37,1826.83,1686.79,8.13
2022-07-27,1615.8,1666.82,1680.76,1615.8,3.4
2022-07-26,1618.34,1612.04,1632.43,1610.41,-0.38
2022-07-25,1624.15,1618.16,1625.77,1606.76,-0.42
2022-07-22,1627.14,1624.95,1653.16,1618.17,0.2
2022-07-21,1622.82,1621.74,1631.97,1615.55,0.1
2022-07-20,1594.55,1620.09,1624.56,1594.15,1.95
2022-07-19,1601.63,1589.17,1602.7,1578.23,-1.05
2022-07-18,1544.86,1605.98,1608.03,1544.86,4.16
2022-07-15,1593.21,1541.82,1603.76,1520.31,-2.73
2022-07-14,1611.84,1585.11,1611.84,1585,-1.75
2022-07-13,1612.11,1613.32,1616.77,1584.38,0.48
2022-07-12,1632.8,1605.61,1632.8,1598.39,-1.83
2022-07-11,1659.17,1635.58,1680.31,1631.46,-1.32
2022-07-08,1631.89,1657.41,1664.92,1623.46,1.44
2022-07-07,1549.48,1633.89,1634.08,1549.48,5.52
2022-07-06,1527.79,1548.48,1562.74,1525.08,1.86
2022-07-05,1515.41,1520.24,1527.6,1505.67,0
2022-07-04,1506.17,1520.22,1522.84,1504.54,1.26
2022-07-01,1487.63,1501.29,1505.49,1471.12,0.63
2022-06-30,1468.92,1491.84,1491.84,1454.33,1.69
2022-06-29,1528.19,1467.09,1528.19,1466.01,-4.03
2022-06-28,1550.69,1528.75,1574.48,1528.75,-1.4
2022-06-27,1527.66,1550.46,1551.05,1527.66,2.17
2022-06-24,1522.46,1517.55,1548.9,1516.9,0.69
2022-06-23,1502.05,1507.21,1516.45,1488.87,0.27
2022-06-22,1510.97,1503.19,1511.16,1480.53,-0.74
2022-06-21,1495.14,1514.44,1521.53,1489.13,1.58
2022-06-20,1452.19,1490.94,1491.18,1451.98,3.32
2022-06-17,1405.28,1442.99,1443.02,1400.16,2.79
2022-06-16,1467.85,1403.79,1473.4,1403.79,-3.67
2022-06-15,1446.49,1457.27,1457.6,1441.11,0.41
2022-06-14,1464.08,1451.38,1473.2,1440.63,-0.57
2022-06-13,1545.14,1459.63,1545.14,1453.37,-5.56
2022-06-10,1573.27,1545.59,1574.8,1543.93,-2.24
2022-06-09,1595.39,1581.08,1595.83,1578.28,-0.83
2022-06-08,1601.21,1594.33,1618.84,1594.33,-0.32
2022-06-07,1601.46,1599.52,1602.69,1587.69,-0.12
2022-06-06,1564.12,1601.38,1617.81,1564.12,2.39
2022-06-03,1571.34,1563.98,1575.02,1551.81,-1.09
2022-06-02,1531.59,1581.17,1582.11,1524.28,3.17
2022-06-01,1546.69,1532.57,1547.89,1530.38,-1.39
2022-05-31,1563.38,1554.19,1567.14,1547.16,-0.52
2022-05-30,1546.99,1562.39,1569.6,1546.99,1.69
2022-05-27,1501.32,1536.37,1536.41,1491.67,2.39
2022-05-26,1445.74,1500.52,1502.17,1442.74,3.76
2022-05-25,1425.55,1446.19,1446.28,1419.88,1.69
2022-05-24,1453.29,1422.21,1453.29,1420.72,-2.35
2022-05-23,1445.38,1456.43,1473.29,1444.49,1.28
2022-05-20,1457.95,1438.02,1470.18,1432.53,-1.11
2022-05-19,1424.76,1454.22,1456.11,1396.28,1.81
2022-05-18,1415.27,1428.43,1441.39,1413.18,2.21
2022-05-17,1372.16,1397.49,1397.85,1372.16,1.54
2022-05-16,1386.76,1376.26,1392.15,1376.26,-0.73
2022-05-13,1314.27,1386.44,1390.24,1314.27,5.49
2022-05-12,1329.48,1314.27,1331.9,1287.69,-1.71
2022-05-11,1361.19,1337.1,1388.87,1337.1,-1.79
2022-05-10,1368.05,1361.48,1390.85,1348.93,-0.64
2022-05-09,1484.75,1370.3,1484.75,1370.3,-7.85
2022-05-06,1544.32,1487.11,1544.32,1485.35,-4.55
2022-05-05,1592.93,1558.05,1614.34,1555.81,-0.68
2022-05-04,1553.34,1568.79,1568.99,1546.74,0.98
2022-05-03,1519.49,1553.56,1553.64,1519.49,3.38
2022-05-02,1541.33,1502.76,1544.77,1501.68,-3.06
2022-04-29,1543.22,1550.17,1562.64,1540.53,0.57
2022-04-28,1544.19,1541.38,1561.65,1515.82,-0.49
2022-04-27,1512.98,1548.94,1560.77,1512.98,2.43
2022-04-26,1558.19,1512.16,1568.87,1512.16,-2.22
2022-04-25,1544.8,1546.43,1546.94,1527.33,0.17
2022-04-22,1572.95,1543.76,1572.95,1543.67,-2.51
2022-04-21,1661.09,1583.49,1671.43,1583.49,-4.93
2022-04-20,1693.35,1665.68,1708.28,1663.69,-1.87
2022-04-19,1689.02,1697.45,1698.56,1672.27,0.81
2022-04-14,1688.29,1683.87,1695.2,1682.93,0.26
2022-04-13,1688.24,1679.46,1688.37,1663.23,-0.68
2022-04-12,1676.12,1690.99,1697.7,1668.38,0.73
