Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,60,40597
2004-02-01,49,33154
2004-03-01,62,41950
2004-04-01,64,43303
2004-05-01,44,29771
2004-06-01,63,42627
2004-07-01,48,32477
2004-08-01,52,35184
2004-09-01,68,46010
2004-10-01,52,35184
2004-11-01,40,27064
2004-12-01,33,22328
2005-01-01,37,25035
2005-02-01,52,35184
2005-03-01,37,25035
2005-04-01,47,31801
2005-05-01,56,37890
2005-06-01,42,28418
2005-07-01,41,27741
2005-08-01,47,31801
2005-09-01,58,39244
2005-10-01,50,33831
2005-11-01,48,32477
2005-12-01,38,25711
2006-01-01,56,37890
2006-02-01,44,29771
2006-03-01,62,41950
2006-04-01,47,31801
2006-05-01,44,29771
2006-06-01,51,34507
2006-07-01,37,25035
2006-08-01,42,28418
2006-09-01,47,31801
2006-10-01,56,37890
2006-11-01,43,29094
2006-12-01,42,28418
2007-01-01,52,35184
2007-02-01,56,37890
2007-03-01,53,35861
2007-04-01,57,38567
2007-05-01,57,38567
2007-06-01,60,40597
2007-07-01,53,35861
2007-08-01,55,37214
2007-09-01,65,43980
2007-10-01,69,46686
2007-11-01,64,43303
2007-12-01,60,40597
2008-01-01,68,46010
2008-02-01,71,48040
2008-03-01,79,53453
2008-04-01,81,54806
2008-05-01,78,52776
2008-06-01,76,51423
2008-07-01,71,48040
2008-08-01,68,46010
2008-09-01,72,48716
2008-10-01,79,53453
2008-11-01,84,56836
2008-12-01,77,52099
2009-01-01,74,50070
2009-02-01,96,64955
2009-03-01,100,67662
2009-04-01,97,65632
2009-05-01,95,64279
2009-06-01,83,56159
2009-07-01,80,54129
2009-08-01,83,56159
2009-09-01,90,60896
2009-10-01,96,64955
2009-11-01,95,64279
2009-12-01,80,54129
2010-01-01,95,64279
2010-02-01,97,65632
2010-03-01,99,66985
2010-04-01,94,63602
2010-05-01,88,59542
2010-06-01,81,54806
2010-07-01,82,55483
2010-08-01,80,54129
2010-09-01,80,54129
2010-10-01,93,62925
2010-11-01,88,59542
2010-12-01,75,50746
2011-01-01,85,57512
2011-02-01,89,60219
2011-03-01,91,61572
2011-04-01,83,56159
2011-05-01,78,52776
2011-06-01,73,49393
2011-07-01,72,48716
2011-08-01,73,49393
2011-09-01,74,50070
2011-10-01,75,50746
2011-11-01,70,47363
2011-12-01,63,42627
2012-01-01,68,46010
2012-02-01,71,48040
2012-03-01,71,48040
2012-04-01,69,46686
2012-05-01,67,45333
2012-06-01,59,39920
2012-07-01,65,43980
2012-08-01,60,40597
2012-09-01,70,47363
2012-10-01,67,45333
2012-11-01,60,40597
2012-12-01,45,30448
2013-01-01,59,39920
2013-02-01,64,43303
2013-03-01,60,40597
2013-04-01,59,39920
2013-05-01,54,36537
2013-06-01,51,34507
2013-07-01,53,35861
2013-08-01,52,35184
2013-09-01,55,37214
2013-10-01,52,35184
2013-11-01,53,35861
2013-12-01,44,29771
2014-01-01,53,35861
2014-02-01,56,37890
2014-03-01,51,34507
2014-04-01,49,33154
2014-05-01,45,30448
2014-06-01,45,30448
2014-07-01,46,31124
2014-08-01,41,27741
2014-09-01,52,35184
2014-10-01,47,31801
2014-11-01,47,31801
2014-12-01,42,28418
2015-01-01,43,29094
2015-02-01,45,30448
2015-03-01,49,33154
2015-04-01,48,32477
2015-05-01,45,30448
2015-06-01,42,28418
2015-07-01,42,28418
2015-08-01,42,28418
2015-09-01,47,31801
2015-10-01,46,31124
2015-11-01,46,31124
2015-12-01,40,27064
2016-01-01,43,29094
2016-02-01,45,30448
2016-03-01,44,29771
2016-04-01,44,29771
2016-05-01,43,29094
2016-06-01,39,26388
2016-07-01,38,25711
2016-08-01,34,23005
2016-09-01,40,27064
2016-10-01,42,28418
2016-11-01,46,31124
2016-12-01,39,26388
2017-01-01,40,27064
2017-02-01,45,30448
2017-03-01,48,32477
2017-04-01,43,29094
2017-05-01,40,27064
2017-06-01,32,21651
2017-07-01,36,24358
2017-08-01,35,23681
2017-09-01,40,27064
2017-10-01,41,27741
2017-11-01,39,26388
2017-12-01,35,23681
2018-01-01,39,26388
2018-02-01,44,29771
2018-03-01,40,27064
2018-04-01,42,28418
2018-05-01,38,25711
2018-06-01,32,21651
2018-07-01,35,23681
2018-08-01,34,23005
2018-09-01,39,26388
2018-10-01,39,26388
2018-11-01,38,25711
2018-12-01,33,22328
2019-01-01,36,24358
2019-02-01,43,29094
2019-03-01,37,25035
2019-04-01,38,25711
2019-05-01,37,25035
2019-06-01,33,22328
2019-07-01,35,23681
2019-08-01,33,22328
2019-09-01,41,27741
2019-10-01,37,25035
2019-11-01,42,28418
2019-12-01,34,23005
2020-01-01,38,25711
2020-02-01,45,30448
2020-03-01,35,23681
2020-04-01,34,23005
2020-05-01,32,21651
2020-06-01,35,23681
2020-07-01,36,24358
2020-08-01,33,22328
2020-09-01,40,27064
2020-10-01,41,27741
2020-11-01,40,27064
2020-12-01,35,23681
2021-01-01,35,23681
2021-02-01,43,29094
2021-03-01,43,29094
2021-04-01,42,28418
2021-05-01,40,27064
2021-06-01,39,26388
2021-07-01,40,27064
2021-08-01,38,25711
2021-09-01,43,29094
2021-10-01,47,31801
2021-11-01,48,32477
2021-12-01,42,28418
2022-01-01,52,35184
2022-02-01,66,44657
2022-03-01,63,42627
2022-04-01,63,42627
2022-05-01,59,39920
2022-06-01,56,37890
2022-07-01,51,34507
2022-08-01,54,36537
2022-09-01,63,42627
2022-10-01,56,37890
2022-11-01,80,54129
2022-12-01,53,35861
2023-01-01,56,37890
2023-02-01,71,48040
2023-03-01,62,41950
2023-04-01,57,38567
2023-05-01,62,41950
2023-06-01,57,38567
2023-07-01,53,35861
