Exchange Date,Close,Net,%Chg,Open,Low,High,
29-Feb-2024,"3,089.15",+22.85,+0.75%,"3,076.16","3,073.36","3,092.47",
28-Feb-2024,"3,066.30",-6.26,-0.20%,"3,074.67","3,061.05","3,074.78",
27-Feb-2024,"3,072.56",+6.48,+0.21%,"3,067.08","3,063.60","3,073.21",
26-Feb-2024,"3,066.08",-15.87,-0.52%,"3,074.60","3,065.66","3,077.68",
23-Feb-2024,"3,081.95",+5.30,+0.17%,"3,079.73","3,077.40","3,091.53",
22-Feb-2024,"3,076.66",+51.62,+1.71%,"3,024.22","3,023.97","3,080.63",
21-Feb-2024,"3,025.04",-5.91,-0.19%,"3,025.57","3,010.04","3,026.46",
20-Feb-2024,"3,030.95",-18.93,-0.62%,"3,043.08","3,020.66","3,045.12",
19-Feb-2024,"3,049.88",+0.76,+0.02%,"3,048.88","3,048.78","3,050.63",
16-Feb-2024,"3,049.12",-5.14,-0.17%,"3,054.55","3,043.93","3,065.20",
15-Feb-2024,"3,054.26",+9.35,+0.31%,"3,032.66","3,032.65","3,055.94",
14-Feb-2024,"3,044.91",+19.19,+0.63%,"3,020.49","3,017.12","3,046.09",
13-Feb-2024,"3,025.72",-20.43,-0.67%,"3,065.21","3,009.87","3,068.41",
12-Feb-2024,"3,046.16",+2.74,+0.09%,"3,046.51","3,044.73","3,059.07",
09-Feb-2024,"3,043.42",+12.47,+0.41%,"3,030.16","3,029.39","3,045.25",
08-Feb-2024,"3,030.95",-0.41,-0.01%,"3,029.96","3,025.85","3,033.12",
07-Feb-2024,"3,031.36",+14.32,+0.47%,"3,014.02","3,013.04","3,033.53",
06-Feb-2024,"3,017.04",+6.59,+0.22%,"3,006.65","3,005.97","3,018.51",
05-Feb-2024,"3,010.45",-1.09,-0.04%,"3,022.06","2,998.48","3,024.40",
02-Feb-2024,"3,011.54",+43.56,+1.47%,"2,994.79","2,984.52","3,017.76",
01-Feb-2024,"2,967.98",+4.47,+0.15%,"2,944.13","2,937.55","2,970.60",
31-Jan-2024,"2,963.51",-22.43,-0.75%,"2,993.97","2,958.31","2,998.84",
30-Jan-2024,"2,985.94",-1.54,-0.05%,"2,987.76","2,982.26","2,990.52",
29-Jan-2024,"2,987.48",+23.76,+0.80%,"2,967.93","2,967.65","2,990.31",
