Exchange Date,Close,Net,%Chg,Open,Low,High,
29-Feb-2024,56.13,+1.21,+2.20%,54.92,54.90,56.83,
28-Feb-2024,54.92,-0.37,-0.67%,55.27,54.80,55.46,
27-Feb-2024,55.29,+0.55,+1.00%,54.75,54.62,55.36,
26-Feb-2024,54.74,+0.28,+0.51%,54.47,54.25,55.03,
23-Feb-2024,54.46,-0.77,-1.39%,55.26,54.44,55.40,
22-Feb-2024,55.23,-1.02,-1.81%,56.29,55.23,56.63,
21-Feb-2024,56.25,-0.53,-0.93%,56.75,55.85,56.93,
20-Feb-2024,56.78,-0.63,-1.10%,57.42,56.54,57.50,
19-Feb-2024,57.41,-0.27,-0.47%,57.72,57.26,57.80,
16-Feb-2024,57.68,-0.50,-0.86%,58.23,57.50,58.47,
15-Feb-2024,58.18,+0.94,+1.64%,57.27,57.17,58.62,
14-Feb-2024,57.24,+1.15,+2.05%,56.04,55.96,57.26,
13-Feb-2024,56.09,-1.74,-3.01%,57.85,55.76,58.06,
12-Feb-2024,57.83,+1.20,+2.12%,56.63,56.57,58.23,
09-Feb-2024,56.63,+0.57,+1.02%,56.09,55.70,56.80,
08-Feb-2024,56.06,-0.48,-0.85%,56.58,55.91,56.78,
07-Feb-2024,56.54,+2.19,+4.03%,54.40,54.40,56.90,
06-Feb-2024,54.35,+0.81,+1.51%,53.57,53.54,54.40,
05-Feb-2024,53.54,-1.52,-2.76%,54.99,53.09,55.02,
02-Feb-2024,55.06,-1.04,-1.85%,56.21,54.61,56.44,
01-Feb-2024,56.10,+0.42,+0.75%,55.53,55.17,56.65,
31-Jan-2024,55.68,+0.05,+0.09%,55.65,55.37,56.85,
30-Jan-2024,55.63,-0.81,-1.44%,56.53,55.51,56.56,
29-Jan-2024,56.44,+0.43,+0.77%,55.97,55.47,56.53,
26-Jan-2024,56.01,-0.19,-0.34%,56.23,55.96,56.63,
25-Jan-2024,56.20,-0.13,-0.23%,56.28,55.64,56.59,
24-Jan-2024,56.33,-0.14,-0.25%,56.53,56.26,57.67,
23-Jan-2024,56.47,+0.55,+0.98%,55.90,55.89,57.32,
22-Jan-2024,55.92,+0.84,+1.53%,55.24,54.95,56.96,
19-Jan-2024,55.08,-0.39,-0.70%,55.54,54.51,55.56,
18-Jan-2024,55.47,+0.34,+0.62%,55.20,55.19,55.67,
17-Jan-2024,55.13,-1.69,-2.97%,56.82,54.85,56.82,
16-Jan-2024,56.82,-1.74,-2.97%,58.55,56.76,58.56,
15-Jan-2024,58.56,-0.21,-0.36%,58.71,58.46,58.84,
12-Jan-2024,58.77,-0.25,-0.42%,59.12,58.65,59.72,
11-Jan-2024,59.02,-0.72,-1.21%,59.76,58.52,60.10,
10-Jan-2024,59.74,-0.11,-0.18%,59.88,59.13,60.07,
09-Jan-2024,59.85,-0.01,-0.02%,59.81,59.29,60.04,
08-Jan-2024,59.86,+0.04,+0.07%,59.70,59.31,60.04,
05-Jan-2024,59.82,-0.21,-0.35%,60.01,59.23,60.56,
04-Jan-2024,60.03,-0.38,-0.63%,60.46,59.94,60.79,
03-Jan-2024,60.41,-1.76,-2.83%,62.14,59.79,62.30,
02-Jan-2024,62.17,-1.16,-1.83%,63.29,61.84,63.43,
01-Jan-2024,63.33,+0.04,+0.06%,63.27,63.25,63.33,
29-Dec-2023,63.29,-0.48,-0.75%,63.67,63.24,63.84,
28-Dec-2023,63.77,+0.58,+0.92%,63.21,63.21,63.96,
27-Dec-2023,63.19,+0.79,+1.27%,62.44,62.33,63.43,
26-Dec-2023,62.40,+0.51,+0.82%,61.92,61.90,62.55,
25-Dec-2023,61.89,-0.01,-0.02%,61.91,61.85,61.91,
22-Dec-2023,61.90,+0.20,+0.32%,61.75,61.54,62.23,
21-Dec-2023,61.70,+1.30,+2.15%,60.31,60.16,61.84,
20-Dec-2023,60.40,-1.00,-1.63%,61.39,60.28,61.51,
19-Dec-2023,61.40,+1.48,+2.47%,59.93,59.85,61.61,
18-Dec-2023,59.92,-0.82,-1.35%,60.70,59.55,60.74,
15-Dec-2023,60.74,+0.92,+1.54%,59.82,59.81,60.90,
14-Dec-2023,59.82,+4.09,+7.34%,55.97,55.97,60.37,
13-Dec-2023,55.73,+1.65,+3.05%,54.12,53.69,55.96,
12-Dec-2023,54.08,-1.02,-1.85%,55.15,53.59,55.24,
11-Dec-2023,55.10,-0.48,-0.86%,55.55,54.89,55.57,
08-Dec-2023,55.58,-0.44,-0.79%,56.04,55.23,56.33,
07-Dec-2023,56.02,-0.28,-0.50%,56.24,55.84,56.27,
06-Dec-2023,56.30,+0.01,+0.02%,56.25,56.21,57.08,
05-Dec-2023,56.29,+0.32,+0.57%,56.01,55.96,56.62,
04-Dec-2023,55.97,+0.03,+0.05%,56.09,55.86,56.57,
01-Dec-2023,55.94,+0.69,+1.25%,55.20,54.63,56.08,
30-Nov-2023,55.25,+0.69,+1.26%,54.55,54.45,55.33,
29-Nov-2023,54.56,+0.72,+1.34%,53.89,53.70,55.09,
28-Nov-2023,53.84,+0.51,+0.96%,53.39,53.21,54.11,
27-Nov-2023,53.33,+0.05,+0.09%,53.29,53.10,53.63,
24-Nov-2023,53.28,-0.58,-1.08%,53.85,53.18,53.88,
23-Nov-2023,53.86,+0.03,+0.06%,53.88,53.68,54.02,
22-Nov-2023,53.83,-0.24,-0.44%,54.02,53.61,54.05,
21-Nov-2023,54.07,-0.78,-1.42%,54.87,53.93,54.99,
20-Nov-2023,54.85,+1.07,+1.99%,53.82,53.79,55.09,
17-Nov-2023,53.78,+0.38,+0.71%,53.36,53.10,53.83,
16-Nov-2023,53.40,-0.46,-0.85%,53.82,53.17,53.88,
15-Nov-2023,53.86,+0.91,+1.72%,53.09,53.08,54.62,
14-Nov-2023,52.95,+3.39,+6.84%,49.58,49.58,53.15,
13-Nov-2023,49.56,+0.03,+0.06%,49.58,49.18,49.76,
10-Nov-2023,49.53,-0.46,-0.92%,49.87,49.14,49.87,
09-Nov-2023,49.99,-0.51,-1.01%,50.51,49.78,50.68,
08-Nov-2023,50.50,-0.20,-0.39%,50.73,50.34,51.38,
07-Nov-2023,50.70,-0.62,-1.21%,51.27,50.33,51.27,
06-Nov-2023,51.32,-0.30,-0.58%,51.67,51.05,52.08,
03-Nov-2023,51.62,+1.54,+3.08%,50.10,50.09,52.27,
02-Nov-2023,50.08,+1.73,+3.58%,48.44,48.42,50.26,
01-Nov-2023,48.35,-1.04,-2.11%,49.41,47.86,49.42,
31-Oct-2023,49.39,+0.38,+0.78%,49.01,48.74,49.42,
30-Oct-2023,49.01,-0.46,-0.93%,49.45,48.46,49.90,
27-Oct-2023,49.47,-1.32,-2.60%,50.83,49.30,51.20,
26-Oct-2023,50.79,+0.61,+1.22%,50.13,49.75,51.21,
25-Oct-2023,50.18,-0.79,-1.55%,50.96,49.56,51.06,
24-Oct-2023,50.97,+0.92,+1.84%,50.14,49.99,51.34,
23-Oct-2023,50.05,-0.30,-0.60%,50.32,49.26,50.52,
20-Oct-2023,50.35,-1.68,-3.23%,52.06,49.90,52.10,
19-Oct-2023,52.03,-0.95,-1.79%,52.96,51.98,53.02,
18-Oct-2023,52.98,-1.32,-2.43%,54.29,52.86,54.30,
17-Oct-2023,54.30,+0.75,+1.40%,53.57,53.06,54.63,
16-Oct-2023,53.55,+0.10,+0.19%,53.44,52.87,53.70,
13-Oct-2023,53.45,-0.89,-1.64%,54.28,53.36,54.30,
12-Oct-2023,54.34,-0.92,-1.66%,55.26,54.06,55.78,
11-Oct-2023,55.26,+0.72,+1.32%,54.57,54.57,55.65,
10-Oct-2023,54.54,+2.32,+4.44%,52.28,52.20,54.72,
09-Oct-2023,52.22,-0.17,-0.32%,52.36,51.94,52.54,
06-Oct-2023,52.39,+0.64,+1.24%,51.80,51.07,52.68,
05-Oct-2023,51.75,-0.62,-1.18%,52.41,51.57,52.80,
04-Oct-2023,52.37,-0.01,-0.02%,52.35,51.52,52.60,
03-Oct-2023,52.38,-2.01,-3.70%,54.34,52.04,54.35,
02-Oct-2023,54.39,-2.03,-3.60%,56.36,54.28,56.75,
29-Sep-2023,56.42,+0.40,+0.71%,56.03,56.01,57.47,
28-Sep-2023,56.02,-0.14,-0.25%,56.14,55.50,56.56,
27-Sep-2023,56.16,-0.51,-0.90%,56.62,56.07,57.02,
26-Sep-2023,56.67,-1.11,-1.92%,57.81,56.59,57.82,
25-Sep-2023,57.78,-0.72,-1.23%,58.48,57.51,58.51,
22-Sep-2023,58.50,-0.60,-1.02%,59.10,58.43,59.25,
21-Sep-2023,59.10,-1.18,-1.96%,60.11,58.95,60.11,
20-Sep-2023,60.28,+0.43,+0.72%,59.82,59.71,60.87,
19-Sep-2023,59.85,+0.36,+0.61%,59.53,59.28,60.33,
18-Sep-2023,59.49,-0.95,-1.57%,60.46,59.49,60.59,
15-Sep-2023,60.44,-0.64,-1.05%,61.02,60.27,61.36,
14-Sep-2023,61.08,+1.49,+2.50%,59.58,59.58,61.09,
13-Sep-2023,59.59,-0.40,-0.67%,60.07,59.47,60.41,
12-Sep-2023,59.99,+0.13,+0.22%,59.87,59.37,60.10,
11-Sep-2023,59.86,+0.02,+0.03%,59.84,59.68,60.11,
08-Sep-2023,59.84,-0.01,-0.02%,59.83,59.60,60.09,
07-Sep-2023,59.85,-0.73,-1.21%,60.61,59.21,60.64,
06-Sep-2023,60.58,-1.10,-1.78%,61.72,60.44,61.72,
05-Sep-2023,61.68,-1.08,-1.72%,62.77,61.64,62.79,
04-Sep-2023,62.76,-0.31,-0.49%,63.00,62.76,63.20,
01-Sep-2023,63.07,+0.21,+0.33%,62.85,62.80,63.91,
31-Aug-2023,62.86,-0.16,-0.25%,63.02,62.68,63.22,
30-Aug-2023,63.02,-1.90,-2.93%,65.05,62.88,65.20,
29-Aug-2023,64.92,+1.49,+2.35%,63.48,63.48,65.17,
28-Aug-2023,63.43,+0.40,+0.63%,63.10,63.10,63.71,
25-Aug-2023,63.03,+0.17,+0.27%,62.74,62.50,63.28,
24-Aug-2023,62.86,-0.55,-0.87%,63.47,62.77,63.93,
23-Aug-2023,63.41,+0.88,+1.41%,62.51,62.38,63.58,
22-Aug-2023,62.53,+0.02,+0.03%,62.55,62.26,62.99,
21-Aug-2023,62.51,-0.48,-0.76%,63.03,62.32,63.05,
18-Aug-2023,62.99,-0.18,-0.28%,63.12,62.41,63.20,
17-Aug-2023,63.17,-1.20,-1.86%,64.27,63.12,64.38,
16-Aug-2023,64.37,-0.77,-1.18%,65.03,64.27,65.14,
15-Aug-2023,65.14,-1.73,-2.59%,66.88,65.03,66.89,
14-Aug-2023,66.87,-0.16,-0.24%,66.93,65.69,66.97,
11-Aug-2023,67.03,-0.85,-1.25%,67.77,66.72,67.81,
10-Aug-2023,67.88,-0.60,-0.88%,68.47,67.68,68.73,
09-Aug-2023,68.48,+0.71,+1.05%,67.81,67.77,68.78,
08-Aug-2023,67.77,-0.25,-0.37%,68.02,67.30,68.03,
07-Aug-2023,68.02,-0.60,-0.87%,68.58,67.60,68.61,
04-Aug-2023,68.62,-0.03,-0.04%,68.70,68.48,69.43,
03-Aug-2023,68.65,-0.14,-0.20%,68.82,68.54,69.28,
02-Aug-2023,68.79,-3.07,-4.27%,71.92,68.56,71.96,
01-Aug-2023,71.86,-1.11,-1.52%,72.89,71.81,72.90,
31-Jul-2023,72.97,+0.22,+0.30%,72.72,72.68,73.93,
28-Jul-2023,72.75,-0.85,-1.15%,73.55,71.71,73.65,
27-Jul-2023,73.60,-1.66,-2.21%,75.30,73.26,75.51,
26-Jul-2023,75.26,-0.63,-0.83%,75.92,74.75,76.22,
25-Jul-2023,75.89,+0.42,+0.56%,75.43,75.42,76.22,
24-Jul-2023,75.47,-0.08,-0.11%,75.60,75.04,75.86,
21-Jul-2023,75.55,-0.17,-0.22%,75.68,75.15,75.82,
20-Jul-2023,75.72,-1.18,-1.53%,76.95,75.47,77.15,
19-Jul-2023,76.90,+0.20,+0.26%,76.67,76.43,77.61,
18-Jul-2023,76.70,-0.51,-0.66%,77.22,76.63,77.88,
17-Jul-2023,77.21,+1.75,+2.32%,75.43,75.16,77.52,
14-Jul-2023,75.46,-0.87,-1.14%,76.42,75.30,76.50,
13-Jul-2023,76.33,+1.01,+1.34%,75.38,75.38,76.51,
12-Jul-2023,75.32,+1.92,+2.62%,73.48,73.43,75.52,
11-Jul-2023,73.40,+0.38,+0.52%,73.11,73.03,73.62,
10-Jul-2023,73.02,+0.94,+1.30%,72.12,71.75,73.19,
07-Jul-2023,72.08,+0.69,+0.97%,71.43,70.93,72.62,
06-Jul-2023,71.39,-1.76,-2.41%,73.09,71.23,73.12,
05-Jul-2023,73.15,-1.52,-2.04%,74.62,73.00,74.64,
04-Jul-2023,74.67,+0.07,+0.09%,74.61,74.46,74.78,
03-Jul-2023,74.60,+0.27,+0.36%,74.34,74.18,75.18,
30-Jun-2023,74.33,+1.44,+1.98%,72.83,72.77,74.42,
29-Jun-2023,72.89,-0.45,-0.61%,73.39,72.62,73.57,
28-Jun-2023,73.34,+0.42,+0.58%,72.94,72.89,73.87,
27-Jun-2023,72.92,+0.55,+0.76%,72.37,72.32,73.11,
26-Jun-2023,72.37,+0.16,+0.22%,72.23,72.12,73.20,
23-Jun-2023,72.21,-2.07,-2.79%,74.28,72.11,74.28,
22-Jun-2023,74.28,-0.44,-0.59%,74.83,73.57,74.93,
21-Jun-2023,74.72,-0.86,-1.14%,75.63,74.52,75.65,
20-Jun-2023,75.58,-1.14,-1.49%,76.72,75.30,76.80,
19-Jun-2023,76.72,-0.60,-0.78%,77.33,76.70,77.35,
16-Jun-2023,77.32,+0.19,+0.25%,77.24,76.90,78.19,
15-Jun-2023,77.13,+0.74,+0.97%,76.34,76.26,77.39,
14-Jun-2023,76.39,-0.36,-0.47%,76.71,76.04,77.04,
13-Jun-2023,76.75,+0.17,+0.22%,76.63,76.21,77.46,
12-Jun-2023,76.58,+0.44,+0.58%,76.13,75.60,76.68,
09-Jun-2023,76.14,-0.30,-0.39%,76.48,76.06,77.18,
08-Jun-2023,76.44,+0.01,+0.01%,76.41,76.15,76.76,
07-Jun-2023,76.43,-0.26,-0.34%,76.73,76.33,77.40,
06-Jun-2023,76.69,-0.10,-0.13%,76.78,76.14,77.42,
05-Jun-2023,76.79,-0.06,-0.08%,76.79,76.52,77.26,
02-Jun-2023,76.85,+0.46,+0.60%,76.50,76.33,77.60,
01-Jun-2023,76.39,+1.51,+2.02%,74.97,74.90,76.90,
31-May-2023,74.88,-0.93,-1.23%,75.82,74.10,75.83,
30-May-2023,75.81,+0.66,+0.88%,75.14,74.91,76.74,
29-May-2023,75.15,-0.04,-0.05%,75.22,75.10,75.30,
26-May-2023,75.19,-0.44,-0.58%,75.60,74.75,75.62,
25-May-2023,75.63,-0.06,-0.08%,75.67,75.11,75.74,
24-May-2023,75.69,-0.56,-0.73%,76.22,75.19,76.46,
23-May-2023,76.25,-0.57,-0.74%,76.86,76.05,76.95,
22-May-2023,76.82,+0.82,+1.08%,76.10,76.09,77.09,
19-May-2023,76.00,-0.40,-0.52%,76.41,75.88,77.01,
18-May-2023,76.40,-0.75,-0.97%,77.20,76.01,77.28,
17-May-2023,77.15,-0.42,-0.54%,77.55,76.64,77.59,
16-May-2023,77.57,-1.04,-1.32%,78.66,77.53,79.49,
15-May-2023,78.61,+0.46,+0.59%,78.13,78.13,79.28,
12-May-2023,78.15,+2.90,+3.85%,75.23,75.02,78.68,
11-May-2023,75.25,-0.48,-0.63%,75.77,74.92,75.82,
10-May-2023,75.73,+0.76,+1.01%,75.00,74.95,75.91,
09-May-2023,74.97,-0.42,-0.56%,75.35,74.56,75.36,
