Exchange Date,Close,Net,%Chg,Open,Low,High,
29-Feb-2024,51.96,+1.27,+2.52%,50.84,50.82,52.61,
28-Feb-2024,50.68,-0.30,-0.60%,51.01,50.57,51.18,
27-Feb-2024,50.99,+0.52,+1.03%,50.49,50.37,51.05,
26-Feb-2024,50.47,+0.12,+0.24%,50.22,50.01,50.73,
23-Feb-2024,50.34,-0.69,-1.35%,51.08,50.32,51.21,
22-Feb-2024,51.03,-0.97,-1.87%,52.01,51.03,52.32,
21-Feb-2024,52.00,-0.56,-1.06%,52.46,51.63,52.63,
20-Feb-2024,52.56,-0.71,-1.34%,53.15,52.34,53.23,
19-Feb-2024,53.27,-0.27,-0.50%,53.56,53.13,53.63,
16-Feb-2024,53.54,-0.48,-0.89%,54.05,53.37,54.27,
15-Feb-2024,54.02,+0.64,+1.21%,53.17,53.08,54.42,
14-Feb-2024,53.37,+0.99,+1.90%,52.25,52.18,53.39,
13-Feb-2024,52.38,-1.31,-2.45%,54.02,52.07,54.22,
12-Feb-2024,53.69,+1.17,+2.22%,52.58,52.52,54.06,
09-Feb-2024,52.52,+0.50,+0.96%,52.02,51.66,52.68,
08-Feb-2024,52.02,-0.47,-0.89%,52.51,51.88,52.69,
07-Feb-2024,52.49,+1.95,+3.86%,50.51,50.51,52.83,
06-Feb-2024,50.54,+0.69,+1.39%,49.81,49.79,50.59,
05-Feb-2024,49.85,-1.21,-2.37%,51.20,49.43,51.22,
02-Feb-2024,51.06,-0.54,-1.05%,52.12,50.64,52.34,
01-Feb-2024,51.60,+0.12,+0.23%,51.08,50.74,52.11,
31-Jan-2024,51.48,+0.16,+0.31%,51.45,51.19,52.56,
30-Jan-2024,51.32,-0.78,-1.50%,52.15,51.21,52.18,
29-Jan-2024,52.10,+0.49,+0.94%,51.67,51.20,52.18,
26-Jan-2024,51.61,-0.20,-0.39%,51.82,51.57,52.18,
25-Jan-2024,51.82,+0.06,+0.11%,51.89,51.30,52.18,
24-Jan-2024,51.76,-0.28,-0.54%,51.94,51.70,52.99,
23-Jan-2024,52.04,+0.65,+1.26%,51.52,51.51,52.82,
22-Jan-2024,51.39,+0.85,+1.67%,50.77,50.50,52.35,
19-Jan-2024,50.55,-0.47,-0.91%,50.97,50.02,50.99,
18-Jan-2024,51.01,+0.35,+0.68%,50.76,50.75,51.20,
17-Jan-2024,50.67,-1.59,-3.04%,52.22,50.41,52.22,
16-Jan-2024,52.25,-1.24,-2.31%,53.84,52.20,53.85,
15-Jan-2024,53.49,-0.19,-0.35%,53.63,53.40,53.75,
12-Jan-2024,53.68,-0.13,-0.23%,54.00,53.57,54.54,
11-Jan-2024,53.80,-0.65,-1.20%,54.48,53.35,54.79,
10-Jan-2024,54.45,-0.30,-0.55%,54.58,53.90,54.75,
09-Jan-2024,54.75,+0.08,+0.15%,54.72,54.24,54.93,
08-Jan-2024,54.67,-0.00,-0.01%,54.53,54.17,54.84,
05-Jan-2024,54.67,-0.18,-0.33%,54.85,54.14,55.35,
04-Jan-2024,54.86,-0.46,-0.83%,55.25,54.77,55.55,
03-Jan-2024,55.32,-1.48,-2.60%,56.90,54.75,57.05,
02-Jan-2024,56.79,-0.55,-0.96%,57.81,56.49,57.94,
01-Jan-2024,57.34,-0.01,-0.01%,57.29,57.27,57.34,
29-Dec-2023,57.35,-0.31,-0.55%,57.69,57.30,57.85,
28-Dec-2023,57.66,+0.75,+1.32%,57.16,57.16,57.84,
27-Dec-2023,56.91,+0.40,+0.71%,56.24,56.14,57.13,
26-Dec-2023,56.51,+0.28,+0.50%,56.08,56.06,56.65,
25-Dec-2023,56.23,+0.01,+0.01%,56.25,56.19,56.25,
22-Dec-2023,56.22,+0.17,+0.31%,56.09,55.89,56.52,
21-Dec-2023,56.05,+0.83,+1.50%,54.79,54.65,56.18,
20-Dec-2023,55.22,-0.70,-1.25%,56.13,55.11,56.23,
19-Dec-2023,55.92,+1.06,+1.93%,54.58,54.51,56.11,
18-Dec-2023,54.86,-0.89,-1.60%,55.58,54.52,55.61,
15-Dec-2023,55.76,+1.33,+2.44%,54.91,54.90,55.90,
14-Dec-2023,54.43,+3.17,+6.19%,50.92,50.92,54.93,
13-Dec-2023,51.26,+1.14,+2.28%,49.77,49.38,51.47,
12-Dec-2023,50.11,-1.09,-2.13%,51.10,49.66,51.19,
11-Dec-2023,51.20,-0.45,-0.86%,51.62,51.01,51.64,
08-Dec-2023,51.65,-0.26,-0.50%,52.08,51.32,52.35,
07-Dec-2023,51.91,-0.41,-0.77%,52.11,51.74,52.14,
06-Dec-2023,52.31,+0.17,+0.33%,52.27,52.23,53.04,
05-Dec-2023,52.14,+0.49,+0.95%,51.88,51.84,52.45,
04-Dec-2023,51.65,+0.24,+0.47%,51.76,51.55,52.21,
01-Dec-2023,51.41,+0.66,+1.30%,50.73,50.21,51.54,
30-Nov-2023,50.75,+1.01,+2.03%,50.11,50.02,50.83,
29-Nov-2023,49.74,+0.75,+1.54%,49.13,48.96,50.23,
28-Nov-2023,48.99,+0.30,+0.62%,48.58,48.42,49.24,
27-Nov-2023,48.69,-0.02,-0.03%,48.65,48.48,48.96,
24-Nov-2023,48.71,-0.69,-1.39%,49.23,48.62,49.25,
23-Nov-2023,49.39,-0.05,-0.10%,49.41,49.23,49.54,
22-Nov-2023,49.44,-0.12,-0.24%,49.62,49.24,49.65,
21-Nov-2023,49.56,-0.58,-1.16%,50.30,49.44,50.41,
20-Nov-2023,50.15,+0.84,+1.70%,49.20,49.18,50.37,
17-Nov-2023,49.31,+0.09,+0.18%,48.92,48.68,49.35,
16-Nov-2023,49.22,-0.44,-0.89%,49.60,49.00,49.66,
15-Nov-2023,49.66,+0.99,+2.03%,48.95,48.94,50.36,
14-Nov-2023,48.67,+2.34,+5.05%,45.57,45.57,48.86,
13-Nov-2023,46.33,-0.04,-0.09%,46.35,45.98,46.52,
10-Nov-2023,46.37,-0.50,-1.06%,46.69,46.01,46.69,
09-Nov-2023,46.87,-0.30,-0.63%,47.36,46.67,47.52,
08-Nov-2023,47.17,-0.22,-0.47%,47.38,47.02,47.99,
07-Nov-2023,47.39,-0.51,-1.06%,47.92,47.04,47.92,
06-Nov-2023,47.90,-0.22,-0.45%,48.22,47.64,48.60,
03-Nov-2023,48.11,+0.96,+2.03%,46.70,46.69,48.72,
02-Nov-2023,47.16,+1.41,+3.07%,45.61,45.59,47.33,
01-Nov-2023,45.75,-0.95,-2.03%,46.75,45.29,46.76,
31-Oct-2023,46.70,+0.52,+1.13%,46.34,46.09,46.73,
30-Oct-2023,46.18,-0.65,-1.39%,46.59,45.66,47.02,
27-Oct-2023,46.83,-1.27,-2.64%,48.12,46.67,48.47,
26-Oct-2023,48.10,+0.59,+1.24%,47.47,47.11,48.49,
25-Oct-2023,47.51,-0.63,-1.32%,48.24,46.92,48.34,
24-Oct-2023,48.14,+1.22,+2.61%,47.36,47.21,48.49,
23-Oct-2023,46.92,-0.62,-1.30%,47.17,46.18,47.36,
20-Oct-2023,47.53,-1.65,-3.36%,49.15,47.11,49.18,
19-Oct-2023,49.18,-1.11,-2.20%,50.06,49.14,50.12,
18-Oct-2023,50.29,-1.06,-2.06%,51.53,50.18,51.54,
17-Oct-2023,51.35,+0.63,+1.24%,50.66,50.18,51.66,
16-Oct-2023,50.72,-0.14,-0.28%,50.62,50.08,50.86,
13-Oct-2023,50.86,-0.76,-1.48%,51.65,50.78,51.67,
12-Oct-2023,51.62,-0.42,-0.82%,52.50,51.36,52.99,
11-Oct-2023,52.05,+0.61,+1.19%,51.40,51.40,52.42,
10-Oct-2023,51.44,+2.01,+4.07%,49.31,49.23,51.61,
09-Oct-2023,49.43,-0.06,-0.13%,49.56,49.16,49.73,
06-Oct-2023,49.49,+0.43,+0.87%,48.93,48.24,49.76,
05-Oct-2023,49.06,-0.80,-1.61%,49.69,48.89,50.06,
04-Oct-2023,49.86,-0.19,-0.38%,49.84,49.05,50.08,
03-Oct-2023,50.05,-1.87,-3.59%,51.93,49.73,51.94,
02-Oct-2023,51.92,-1.46,-2.73%,53.80,51.81,54.17,
29-Sep-2023,53.38,+0.32,+0.61%,53.01,52.99,54.37,
28-Sep-2023,53.05,-0.43,-0.81%,53.17,52.56,53.57,
27-Sep-2023,53.49,-0.13,-0.24%,53.92,53.40,54.30,
26-Sep-2023,53.61,-0.95,-1.74%,54.69,53.54,54.70,
25-Sep-2023,54.56,-0.36,-0.65%,55.22,54.31,55.25,
22-Sep-2023,54.92,-0.53,-0.96%,55.48,54.85,55.62,
21-Sep-2023,55.45,-1.10,-1.95%,56.40,55.31,56.40,
20-Sep-2023,56.55,+0.50,+0.89%,56.12,56.02,57.11,
19-Sep-2023,56.05,+0.40,+0.73%,55.76,55.52,56.50,
18-Sep-2023,55.65,-1.07,-1.89%,56.56,55.65,56.68,
15-Sep-2023,56.72,-0.68,-1.18%,57.27,56.57,57.59,
14-Sep-2023,57.40,+1.85,+3.34%,55.99,55.99,57.41,
13-Sep-2023,55.55,-0.25,-0.44%,55.99,55.43,56.31,
12-Sep-2023,55.79,+0.10,+0.18%,55.68,55.22,55.90,
11-Sep-2023,55.69,-0.24,-0.42%,55.68,55.53,55.93,
08-Sep-2023,55.93,-0.01,-0.02%,55.92,55.71,56.16,
07-Sep-2023,55.94,-0.53,-0.95%,56.65,55.34,56.68,
06-Sep-2023,56.47,-1.06,-1.85%,57.54,56.34,57.54,
05-Sep-2023,57.54,-0.61,-1.04%,58.55,57.50,58.57,
04-Sep-2023,58.14,-0.40,-0.69%,58.37,58.14,58.55,
01-Sep-2023,58.54,+0.56,+0.97%,58.34,58.29,59.32,
31-Aug-2023,57.98,+0.29,+0.51%,58.13,57.82,58.32,
30-Aug-2023,57.69,-2.00,-3.34%,59.55,57.56,59.69,
29-Aug-2023,59.69,+1.05,+1.78%,58.36,58.36,59.92,
28-Aug-2023,58.64,+0.28,+0.48%,58.33,58.33,58.90,
25-Aug-2023,58.36,+0.21,+0.35%,58.09,57.87,58.59,
24-Aug-2023,58.15,-0.24,-0.41%,58.72,58.07,59.14,
23-Aug-2023,58.39,+0.73,+1.27%,57.57,57.45,58.55,
22-Aug-2023,57.66,+0.27,+0.47%,57.68,57.41,58.09,
21-Aug-2023,57.40,-0.58,-1.00%,57.87,57.22,57.89,
18-Aug-2023,57.98,-0.13,-0.23%,58.10,57.44,58.17,
17-Aug-2023,58.11,-1.09,-1.84%,59.12,58.06,59.22,
16-Aug-2023,59.20,-0.54,-0.91%,59.80,59.10,59.90,
15-Aug-2023,59.74,-1.59,-2.59%,61.33,59.64,61.34,
14-Aug-2023,61.33,+0.08,+0.13%,61.38,60.24,61.42,
11-Aug-2023,61.25,-0.58,-0.94%,61.92,60.96,61.96,
10-Aug-2023,61.83,-0.58,-0.93%,62.36,61.64,62.60,
09-Aug-2023,62.41,+0.54,+0.87%,61.80,61.76,62.68,
08-Aug-2023,61.87,+0.04,+0.07%,62.10,61.44,62.11,
07-Aug-2023,61.83,-0.50,-0.80%,62.33,61.44,62.36,
04-Aug-2023,62.33,-0.40,-0.64%,62.40,62.20,63.06,
03-Aug-2023,62.73,-0.17,-0.28%,62.88,62.63,63.30,
02-Aug-2023,62.90,-2.53,-3.87%,65.76,62.69,65.80,
01-Aug-2023,65.43,-0.94,-1.42%,66.37,65.39,66.38,
31-Jul-2023,66.38,+0.33,+0.50%,66.15,66.11,67.25,
28-Jul-2023,66.05,-1.03,-1.53%,66.77,65.10,66.86,
27-Jul-2023,67.07,-0.83,-1.22%,68.62,66.76,68.81,
26-Jul-2023,67.91,-0.75,-1.10%,68.50,67.45,68.77,
25-Jul-2023,68.66,+0.44,+0.64%,68.24,68.23,68.96,
24-Jul-2023,68.22,+0.30,+0.45%,68.34,67.84,68.58,
21-Jul-2023,67.92,-0.12,-0.18%,68.04,67.56,68.17,
20-Jul-2023,68.04,-0.63,-0.92%,69.15,67.82,69.33,
19-Jul-2023,68.67,+0.35,+0.51%,68.47,68.25,69.31,
18-Jul-2023,68.32,-0.40,-0.59%,68.79,68.26,69.37,
17-Jul-2023,68.73,+1.52,+2.25%,67.14,66.90,69.00,
14-Jul-2023,67.21,-0.79,-1.17%,68.07,67.07,68.14,
13-Jul-2023,68.01,+0.32,+0.47%,67.16,67.16,68.17,
12-Jul-2023,67.68,+0.99,+1.49%,66.03,65.99,67.86,
11-Jul-2023,66.69,+0.30,+0.46%,66.43,66.36,66.89,
10-Jul-2023,66.39,+0.66,+1.01%,65.57,65.23,66.54,
07-Jul-2023,65.72,+0.15,+0.23%,65.13,64.68,66.22,
06-Jul-2023,65.57,-1.84,-2.73%,67.14,65.43,67.16,
05-Jul-2023,67.41,-1.24,-1.80%,68.77,67.27,68.79,
04-Jul-2023,68.65,+0.28,+0.41%,68.59,68.46,68.75,
03-Jul-2023,68.37,+0.24,+0.35%,68.13,67.99,68.90,
30-Jun-2023,68.13,+1.04,+1.55%,66.76,66.70,68.21,
29-Jun-2023,67.09,-0.12,-0.18%,67.55,66.84,67.72,
28-Jun-2023,67.22,+0.68,+1.02%,66.85,66.80,67.70,
27-Jun-2023,66.54,+0.17,+0.25%,66.04,65.99,66.71,
26-Jun-2023,66.37,+0.06,+0.08%,66.24,66.14,67.13,
23-Jun-2023,66.31,-1.48,-2.19%,68.22,66.22,68.22,
22-Jun-2023,67.80,-0.23,-0.34%,68.30,67.15,68.39,
21-Jun-2023,68.03,-1.21,-1.75%,68.86,67.84,68.87,
20-Jun-2023,69.24,-1.01,-1.43%,70.28,68.98,70.36,
19-Jun-2023,70.24,-0.48,-0.68%,70.80,70.22,70.82,
16-Jun-2023,70.72,+0.25,+0.36%,70.65,70.34,71.52,
15-Jun-2023,70.47,-0.06,-0.08%,69.75,69.68,70.71,
14-Jun-2023,70.53,-0.59,-0.84%,70.82,70.21,71.13,
13-Jun-2023,71.12,-0.07,-0.09%,71.01,70.62,71.78,
12-Jun-2023,71.19,+0.34,+0.48%,70.77,70.28,71.28,
09-Jun-2023,70.85,-0.06,-0.08%,71.16,70.77,71.82,
08-Jun-2023,70.90,-0.55,-0.77%,70.87,70.63,71.20,
07-Jun-2023,71.45,-0.28,-0.40%,71.73,71.36,72.36,
06-Jun-2023,71.73,+0.05,+0.07%,71.82,71.22,72.42,
05-Jun-2023,71.69,-0.10,-0.13%,71.69,71.43,72.12,
02-Jun-2023,71.78,+0.79,+1.12%,71.46,71.30,72.48,
01-Jun-2023,70.99,+0.93,+1.32%,69.67,69.60,71.46,
31-May-2023,70.06,-0.57,-0.81%,70.94,69.33,70.95,
30-May-2023,70.63,+0.43,+0.62%,70.01,69.79,71.50,
29-May-2023,70.20,+0.09,+0.12%,70.27,70.15,70.34,
26-May-2023,70.11,-0.44,-0.63%,70.50,69.70,70.51,
25-May-2023,70.56,+0.13,+0.19%,70.59,70.07,70.66,
24-May-2023,70.42,-0.39,-0.55%,70.92,69.96,71.14,
23-May-2023,70.81,-0.25,-0.34%,71.38,70.63,71.46,
22-May-2023,71.06,+0.70,+0.99%,70.39,70.38,71.31,
19-May-2023,70.36,-0.59,-0.83%,70.74,70.25,71.29,
18-May-2023,70.94,-0.23,-0.33%,71.69,70.58,71.76,
17-May-2023,71.18,-0.24,-0.34%,71.55,70.71,71.58,
16-May-2023,71.42,-0.88,-1.22%,72.42,71.38,73.19,
15-May-2023,72.30,+0.26,+0.37%,71.86,71.86,72.92,
12-May-2023,72.04,+3.09,+4.49%,69.35,69.16,72.53,
11-May-2023,68.95,-0.02,-0.03%,69.42,68.65,69.47,
10-May-2023,68.97,+0.57,+0.83%,68.31,68.26,69.14,
09-May-2023,68.40,-0.11,-0.16%,68.75,68.03,68.76,
08-May-2023,68.51,+0.47,+0.69%,68.17,68.11,68.84,
05-May-2023,68.04,+1.04,+1.56%,67.01,66.87,68.19,
04-May-2023,67.00,+0.53,+0.79%,66.81,66.74,67.97,
03-May-2023,66.47,-0.41,-0.61%,66.61,66.15,66.99,
02-May-2023,66.88,-1.59,-2.32%,68.27,66.79,68.42,
01-May-2023,68.46,-0.38,-0.56%,69.07,68.29,69.44,
28-Apr-2023,68.85,-0.57,-0.82%,69.54,67.57,69.55,
27-Apr-2023,69.42,+1.10,+1.62%,68.39,68.26,69.83,
26-Apr-2023,68.32,-4.44,-6.11%,72.30,68.03,72.70,
25-Apr-2023,72.76,-0.84,-1.14%,74.14,72.70,74.21,
24-Apr-2023,73.60,-0.35,-0.48%,73.64,72.57,73.75,
21-Apr-2023,73.95,+0.03,+0.04%,73.75,73.27,74.28,
20-Apr-2023,73.92,-0.47,-0.63%,74.27,72.96,74.30,
19-Apr-2023,74.39,-0.25,-0.33%,74.79,74.08,74.83,
18-Apr-2023,74.64,-0.47,-0.63%,74.82,74.27,75.09,
17-Apr-2023,75.11,+1.63,+2.22%,73.91,73.67,75.54,
14-Apr-2023,73.48,-0.15,-0.21%,73.96,72.95,74.49,
13-Apr-2023,73.63,+1.07,+1.47%,72.26,72.13,73.85,
12-Apr-2023,72.56,-0.63,-0.86%,72.68,72.36,73.47,
11-Apr-2023,73.19,+0.25,+0.34%,72.69,72.47,73.35,
10-Apr-2023,72.94,+0.81,+1.12%,72.38,71.99,73.02,
07-Apr-2023,72.14,+0.13,+0.19%,72.14,72.09,72.17,
06-Apr-2023,72.01,-0.21,-0.30%,72.09,71.45,72.14,
05-Apr-2023,72.22,-0.76,-1.05%,73.28,71.68,73.32,
04-Apr-2023,72.98,-0.75,-1.02%,73.41,72.60,73.43,
03-Apr-2023,73.73,-1.18,-1.58%,74.40,73.50,75.07,
31-Mar-2023,74.91,+1.46,+1.99%,73.86,73.47,75.13,
30-Mar-2023,73.45,+1.11,+1.54%,71.98,71.92,74.47,
29-Mar-2023,72.34,+1.18,+1.66%,71.19,70.82,72.48,
28-Mar-2023,71.16,-0.66,-0.92%,71.59,70.96,71.67,
27-Mar-2023,71.82,-0.09,-0.12%,71.66,71.35,72.26,
24-Mar-2023,71.91,-1.02,-1.39%,73.23,71.21,73.29,
23-Mar-2023,72.93,+0.79,+1.10%,72.49,72.42,74.43,
22-Mar-2023,72.13,-1.41,-1.91%,72.96,72.13,73.62,
21-Mar-2023,73.54,+1.83,+2.56%,71.41,71.28,73.74,
20-Mar-2023,71.70,+0.82,+1.15%,70.58,69.93,72.15,
17-Mar-2023,70.89,-2.73,-3.70%,73.20,70.38,73.79,
16-Mar-2023,73.62,-0.70,-0.94%,74.21,72.48,74.47,
15-Mar-2023,74.32,-1.51,-1.99%,76.99,73.45,77.41,
14-Mar-2023,75.83,+0.71,+0.94%,75.05,74.60,77.14,
13-Mar-2023,75.12,-0.42,-0.55%,74.88,73.32,75.71,
10-Mar-2023,75.54,-1.92,-2.48%,77.00,74.93,77.04,
09-Mar-2023,77.47,-0.87,-1.11%,78.05,77.39,78.89,
08-Mar-2023,78.34,-0.61,-0.78%,78.85,77.59,78.87,
07-Mar-2023,78.95,+0.36,+0.46%,79.57,78.52,79.88,
06-Mar-2023,78.59,+0.96,+1.23%,77.39,77.36,79.10,
03-Mar-2023,77.63,+1.11,+1.44%,76.24,76.24,78.02,
02-Mar-2023,76.53,+0.09,+0.12%,76.95,75.70,76.98,
01-Mar-2023,76.44,+0.76,+1.00%,74.97,74.84,76.78,
28-Feb-2023,75.68,+0.41,+0.55%,75.51,74.89,75.89,
27-Feb-2023,75.27,+0.84,+1.13%,73.98,73.72,75.56,
