Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,OI,Bid,Ask,,
29-Feb-2024,77.40,+0.18,+0.23%,77.04,76.88,77.66,"16,337","62,026.00",77.38,77.39,,
28-Feb-2024,77.22,+0.08,+0.11%,76.87,76.23,77.81,"107,854","68,214.00",76.88,76.95,,
27-Feb-2024,77.14,+1.05,+1.39%,76.21,75.71,77.19,"79,807","107,699.00",76.71,76.75,,
26-Feb-2024,76.09,+0.64,+0.84%,75.05,74.67,76.58,"180,341","136,721.00",76.09,76.15,,
23-Feb-2024,75.45,-1.86,-2.40%,77.08,75.27,77.17,"226,400","188,172.00",75.41,75.43,,
22-Feb-2024,77.31,+0.55,+0.72%,76.87,76.07,77.58,"275,284","219,962.00",77.07,77.10,,
21-Feb-2024,76.76,+0.54,+0.71%,76.27,75.49,76.89,"305,182","247,091.00",76.86,76.88,,
20-Feb-2024,76.22,-1.32,-1.70%,77.05,75.95,77.41,"297,026","279,047.00",76.37,76.43,,
19-Feb-2024,77.54,+0.06,+0.08%,77.28,76.60,77.57,"185,058","318,294.00",77.33,77.41,,
16-Feb-2024,77.47,+0.54,+0.71%,76.84,76.01,77.65,"337,055","336,645.00",77.50,77.58,,
15-Feb-2024,76.93,+0.85,+1.11%,75.59,74.94,77.29,"330,451","378,154.00",76.84,76.92,,
14-Feb-2024,76.08,-1.21,-1.56%,77.02,75.89,77.95,"344,360","400,221.00",75.93,75.93,,
13-Feb-2024,77.29,+1.16,+1.52%,76.57,76.53,77.73,"331,801","428,936.00",77.14,77.21,,
12-Feb-2024,76.13,-0.10,-0.13%,76.07,74.99,76.31,"246,238","457,637.00",76.18,76.20,,
09-Feb-2024,76.23,+0.48,+0.63%,75.79,75.32,76.47,"315,322","486,916.00",75.91,76.03,,
08-Feb-2024,75.75,+2.21,+3.01%,73.59,73.34,76.00,"436,501","520,213.00",75.85,75.86,,
07-Feb-2024,73.54,+0.46,+0.63%,73.07,72.87,73.81,"291,684","516,535.00",73.73,73.74,,
06-Feb-2024,73.08,+0.47,+0.65%,72.48,72.19,73.54,"305,614","534,207.00",73.23,73.26,,
05-Feb-2024,72.61,+0.90,+1.26%,72.53,71.33,72.93,"293,369","540,620.00",72.54,72.55,,
02-Feb-2024,71.71,-0.68,-0.94%,73.40,71.26,73.66,"411,746","556,755.00",71.77,72.03,,
01-Feb-2024,72.39,-3.16,-4.18%,74.11,72.27,75.01,"525,769","590,281.00",72.51,72.56,,
31-Jan-2024,75.55,-0.90,-1.18%,76.68,75.43,76.68,"14,379","63,100.00",75.56,75.58,,
30-Jan-2024,76.45,+0.38,+0.51%,76.22,75.04,76.85,"89,312","68,266.00",76.33,76.39,,
29-Jan-2024,76.06,-0.93,-1.20%,77.66,75.72,78.28,"129,910","104,761.00",76.17,76.24,,
26-Jan-2024,76.99,+0.99,+1.30%,75.97,74.93,77.23,"240,245","141,273.00",77.06,77.13,,
25-Jan-2024,76.00,+2.45,+3.34%,74.05,73.82,76.13,"248,177","187,952.00",75.90,75.94,,
24-Jan-2024,73.55,+0.23,+0.32%,73.10,72.64,74.18,"230,749","210,570.00",73.72,73.78,,
23-Jan-2024,73.31,-0.27,-0.36%,73.65,72.53,74.12,"331,098","236,801.00",73.48,73.50,,
22-Jan-2024,73.58,+1.48,+2.06%,72.50,71.51,74.03,"319,709","276,740.00",73.38,73.42,,
19-Jan-2024,72.09,-0.65,-0.89%,72.59,71.87,73.17,"282,310","299,751.00",72.13,72.16,,
18-Jan-2024,72.74,+1.17,+1.63%,71.87,71.11,72.93,"325,286","329,919.00",72.59,72.61,,
17-Jan-2024,71.57,-0.42,-0.59%,71.47,70.31,71.86,"355,399","360,000.00",71.76,71.79,,
16-Jan-2024,72.00,+0.61,+0.86%,72.13,71.36,73.02,"298,548","388,280.00",71.64,71.69,,
15-Jan-2024,71.38,-0.12,-0.17%,71.37,70.20,72.07,"177,690","391,148.00",71.74,71.83,,
12-Jan-2024,71.50,+0.94,+1.33%,71.92,71.20,73.75,"401,343","400,825.00",71.53,71.60,,
