Exchange Date,Close,Net,%Chg
29-Feb-2024,"1,189.2100",+16.5530,+1.4116%
28-Feb-2024,"1,172.6570",-10.5556,-0.8921%
27-Feb-2024,"1,183.2126",+13.2725,+1.1345%
26-Feb-2024,"1,169.9401",+0.0030,+0.0003%
23-Feb-2024,"1,169.9371",-16.8649,-1.4210%
22-Feb-2024,"1,186.8020",-23.1934,-1.9168%
21-Feb-2024,"1,209.9954",-15.8634,-1.2941%
20-Feb-2024,"1,225.8588",-15.3621,-1.2377%
19-Feb-2024,"1,241.2209",-0.1275,-0.0103%
16-Feb-2024,"1,241.3484",-12.4852,-0.9958%
15-Feb-2024,"1,253.8336",+16.5925,+1.3411%
14-Feb-2024,"1,237.2411",+25.6768,+2.1193%
13-Feb-2024,"1,211.5643",-33.0883,-2.6584%
12-Feb-2024,"1,244.6526",+19.3377,+1.5782%
09-Feb-2024,"1,225.3149",+11.7812,+0.9708%
08-Feb-2024,"1,213.5337",-5.2495,-0.4307%
07-Feb-2024,"1,218.7832",+33.7824,+2.8508%
06-Feb-2024,"1,185.0008",+14.0883,+1.2032%
05-Feb-2024,"1,170.9125",-27.1093,-2.2628%
02-Feb-2024,"1,198.0218",-15.5921,-1.2848%
01-Feb-2024,"1,213.6139",+23.2439,+1.9527%
31-Jan-2024,"1,190.3700",+4.8435,+0.4086%
30-Jan-2024,"1,185.5265",-12.9760,-1.0827%
29-Jan-2024,"1,198.5025",+9.9504,+0.8372%
26-Jan-2024,"1,188.5521",-6.2353,-0.5219%
25-Jan-2024,"1,194.7874",-0.4548,-0.0381%
24-Jan-2024,"1,195.2422",-3.2969,-0.2751%
23-Jan-2024,"1,198.5391",+14.8633,+1.2557%
22-Jan-2024,"1,183.6758",+12.1217,+1.0347%
19-Jan-2024,"1,171.5541",-4.3110,-0.3666%
18-Jan-2024,"1,175.8651",+2.8344,+0.2416%
17-Jan-2024,"1,173.0307",-36.2710,-2.9993%
16-Jan-2024,"1,209.3017",-35.4968,-2.8516%
15-Jan-2024,"1,244.7985",-2.1104,-0.1693%
12-Jan-2024,"1,246.9089",-6.6017,-0.5267%
11-Jan-2024,"1,253.5106",-17.5229,-1.3786%
10-Jan-2024,"1,271.0335",-1.6766,-0.1317%
09-Jan-2024,"1,272.7101",-0.5352,-0.0420%
08-Jan-2024,"1,273.2453",+1.8677,+0.1469%
05-Jan-2024,"1,271.3776",-3.2529,-0.2552%
04-Jan-2024,"1,274.6305",-11.9092,-0.9257%
03-Jan-2024,"1,286.5397",-34.1670,-2.5870%
02-Jan-2024,"1,320.7067",-15.5145,-1.1611%
01-Jan-2024,"1,336.2212",+0.7978,+0.0597%
29-Dec-2023,"1,335.4234",-12.1914,-0.9047%
28-Dec-2023,"1,347.6148",+13.3649,+1.0017%
27-Dec-2023,"1,334.2499",+10.0237,+0.7569%
26-Dec-2023,"1,324.2262",+11.4946,+0.8756%
25-Dec-2023,"1,312.7316",-0.8957,-0.0682%
22-Dec-2023,"1,313.6273",+4.7575,+0.3635%
21-Dec-2023,"1,308.8698",+28.3909,+2.2172%
20-Dec-2023,"1,280.4789",-26.2564,-2.0093%
19-Dec-2023,"1,306.7353",+28.7504,+2.2497%
18-Dec-2023,"1,277.9849",-18.4029,-1.4196%
15-Dec-2023,"1,296.3878",+13.1366,+1.0237%
14-Dec-2023,"1,283.2512",+73.2187,+6.0510%
13-Dec-2023,"1,210.0325",+32.9955,+2.8033%
12-Dec-2023,"1,177.0370",-18.8647,-1.5774%
11-Dec-2023,"1,195.9017",-2.9824,-0.2488%
08-Dec-2023,"1,198.8841",-8.1880,-0.6783%
07-Dec-2023,"1,207.0721",-3.3592,-0.2775%
06-Dec-2023,"1,210.4313",-9.5694,-0.7844%
05-Dec-2023,"1,220.0007",-8.4345,-0.6866%
04-Dec-2023,"1,228.4352",+2.6416,+0.2155%
01-Dec-2023,"1,225.7936",+20.0566,+1.6634%
30-Nov-2023,"1,205.7370",+12.4241,+1.0411%
29-Nov-2023,"1,193.3129",+12.8062,+1.0848%
28-Nov-2023,"1,180.5067",+10.3376,+0.8834%
27-Nov-2023,"1,170.1691",-4.5927,-0.3909%
24-Nov-2023,"1,174.7618",-9.5500,-0.8064%
23-Nov-2023,"1,184.3118",+1.3853,+0.1171%
22-Nov-2023,"1,182.9265",-5.1773,-0.4358%
21-Nov-2023,"1,188.1038",-15.4750,-1.2857%
20-Nov-2023,"1,203.5788",+18.3080,+1.5446%
17-Nov-2023,"1,185.2708",+3.9301,+0.3327%
16-Nov-2023,"1,181.3407",-6.5645,-0.5526%
15-Nov-2023,"1,187.9052",+19.4267,+1.6626%
14-Nov-2023,"1,168.4785",+67.6770,+6.1480%
13-Nov-2023,"1,100.8015",-0.1872,-0.0170%
10-Nov-2023,"1,100.9887",-17.3401,-1.5505%
09-Nov-2023,"1,118.3288",-4.4967,-0.4005%
08-Nov-2023,"1,122.8255",-15.3682,-1.3502%
07-Nov-2023,"1,138.1937",-10.2672,-0.8940%
06-Nov-2023,"1,148.4609",-5.0937,-0.4416%
03-Nov-2023,"1,153.5546",+31.8532,+2.8397%
02-Nov-2023,"1,121.7014",+33.3595,+3.0652%
01-Nov-2023,"1,088.3419",-13.5607,-1.2307%
31-Oct-2023,"1,101.9026",+9.4963,+0.8693%
30-Oct-2023,"1,092.4063",-9.6139,-0.8724%
27-Oct-2023,"1,102.0202",-27.9158,-2.4706%
26-Oct-2023,"1,129.9360",+6.7692,+0.6027%
25-Oct-2023,"1,123.1668",-18.3399,-1.6066%
24-Oct-2023,"1,141.5067",+13.0501,+1.1565%
23-Oct-2023,"1,128.4566",-3.9137,-0.3456%
20-Oct-2023,"1,132.3703",-34.6021,-2.9651%
19-Oct-2023,"1,166.9724",-18.8639,-1.5908%
18-Oct-2023,"1,185.8363",-27.7959,-2.2903%
17-Oct-2023,"1,213.6322",+13.0422,+1.0863%
16-Oct-2023,"1,200.5900",+8.3347,+0.6991%
13-Oct-2023,"1,192.2553",-16.5230,-1.3669%
12-Oct-2023,"1,208.7783",-18.7298,-1.5258%
11-Oct-2023,"1,227.5081",+14.4718,+1.1930%
10-Oct-2023,"1,213.0363",+43.3723,+3.7081%
09-Oct-2023,"1,169.6640",-0.6249,-0.0534%
06-Oct-2023,"1,170.2889",+11.0754,+0.9554%
05-Oct-2023,"1,159.2135",-8.1943,-0.7019%
04-Oct-2023,"1,167.4078",+1.7618,+0.1511%
03-Oct-2023,"1,165.6460",-33.3011,-2.7775%
02-Oct-2023,"1,198.9471",-43.9353,-3.5350%
29-Sep-2023,"1,242.8824",+2.9481,+0.2378%
28-Sep-2023,"1,239.9343",-1.0738,-0.0865%
27-Sep-2023,"1,241.0081",-8.0963,-0.6482%
26-Sep-2023,"1,249.1044",-20.0098,-1.5767%
25-Sep-2023,"1,269.1142",-14.1930,-1.1060%
22-Sep-2023,"1,283.3072",-10.7453,-0.8304%
21-Sep-2023,"1,294.0525",-25.9316,-1.9645%
20-Sep-2023,"1,319.9841",+5.1229,+0.3896%
19-Sep-2023,"1,314.8612",+5.1787,+0.3954%
18-Sep-2023,"1,309.6825",-19.9170,-1.4980%
15-Sep-2023,"1,329.5995",-12.6005,-0.9388%
14-Sep-2023,"1,342.2000",+28.8380,+2.1957%
13-Sep-2023,"1,313.3620",-8.4709,-0.6408%
12-Sep-2023,"1,321.8329",+6.9616,+0.5295%
11-Sep-2023,"1,314.8713",+3.6114,+0.2754%
08-Sep-2023,"1,311.2599",+0.0717,+0.0055%
07-Sep-2023,"1,311.1882",-9.5279,-0.7214%
06-Sep-2023,"1,320.7161",-20.9018,-1.5580%
05-Sep-2023,"1,341.6179",-18.0114,-1.3247%
04-Sep-2023,"1,359.6293",-4.3493,-0.3189%
01-Sep-2023,"1,363.9786",+0.1882,+0.0138%
31-Aug-2023,"1,363.7904",-7.8776,-0.5743%
30-Aug-2023,"1,371.6680",-22.6842,-1.6269%
29-Aug-2023,"1,394.3522",+29.8005,+2.1839%
28-Aug-2023,"1,364.5517",+8.5369,+0.6296%
25-Aug-2023,"1,356.0148",+5.0864,+0.3765%
24-Aug-2023,"1,350.9284",-13.3760,-0.9804%
