Exchange Date,Close,Net,%Chg
29-Feb-2024,"1,100.8160",+18.6295,+1.7215%
28-Feb-2024,"1,082.1865",-8.9367,-0.8190%
27-Feb-2024,"1,091.1232",+12.5437,+1.1630%
26-Feb-2024,"1,078.5795",-2.8987,-0.2680%
23-Feb-2024,"1,081.4782",-15.0794,-1.3752%
22-Feb-2024,"1,096.5576",-22.0469,-1.9709%
21-Feb-2024,"1,118.6044",-16.1363,-1.4220%
20-Feb-2024,"1,134.7407",-16.9882,-1.4750%
19-Feb-2024,"1,151.7289",-0.4411,-0.0383%
16-Feb-2024,"1,152.1699",-11.9143,-1.0235%
15-Feb-2024,"1,164.0842",+10.4806,+0.9085%
14-Feb-2024,"1,153.6036",+22.2570,+1.9673%
13-Feb-2024,"1,131.3466",-24.2137,-2.0954%
12-Feb-2024,"1,155.5604",+19.1176,+1.6822%
09-Feb-2024,"1,136.4428",+10.2957,+0.9142%
08-Feb-2024,"1,126.1471",-5.3956,-0.4768%
07-Feb-2024,"1,131.5427",+29.6223,+2.6882%
06-Feb-2024,"1,101.9204",+11.7891,+1.0814%
05-Feb-2024,"1,090.1312",-20.7944,-1.8718%
02-Feb-2024,"1,110.9256",-5.3443,-0.4788%
01-Feb-2024,"1,116.2699",+15.7014,+1.4267%
31-Jan-2024,"1,100.5685",+6.9084,+0.6317%
30-Jan-2024,"1,093.6601",-12.6896,-1.1470%
29-Jan-2024,"1,106.3496",+11.1108,+1.0145%
26-Jan-2024,"1,095.2389",-6.3551,-0.5769%
25-Jan-2024,"1,101.5940",+3.3337,+0.3035%
24-Jan-2024,"1,098.2602",-6.2774,-0.5683%
23-Jan-2024,"1,104.5377",+16.7041,+1.5355%
22-Jan-2024,"1,087.8336",+12.7218,+1.1833%
19-Jan-2024,"1,075.1118",-6.2373,-0.5768%
18-Jan-2024,"1,081.3491",+3.2987,+0.3060%
17-Jan-2024,"1,078.0504",-34.0476,-3.0616%
16-Jan-2024,"1,112.0980",-24.9134,-2.1911%
15-Jan-2024,"1,137.0114",-1.8279,-0.1605%
12-Jan-2024,"1,138.8393",-3.8359,-0.3357%
11-Jan-2024,"1,142.6752",-15.8591,-1.3689%
10-Jan-2024,"1,158.5343",-5.7791,-0.4963%
09-Jan-2024,"1,164.3134",+1.4203,+0.1221%
08-Jan-2024,"1,162.8931",+0.8667,+0.0746%
05-Jan-2024,"1,162.0264",-2.7692,-0.2377%
04-Jan-2024,"1,164.7956",-13.2502,-1.1248%
03-Jan-2024,"1,178.0458",-28.4066,-2.3546%
02-Jan-2024,"1,206.4524",-3.4558,-0.2856%
01-Jan-2024,"1,209.9082",-0.1590,-0.0131%
29-Dec-2023,"1,210.0672",-8.5000,-0.6975%
28-Dec-2023,"1,218.5672",+16.8617,+1.4031%
27-Dec-2023,"1,201.7055",+2.4465,+0.2040%
26-Dec-2023,"1,199.2590",+6.6292,+0.5558%
25-Dec-2023,"1,192.6298",-0.4985,-0.0418%
22-Dec-2023,"1,193.1283",+4.1117,+0.3458%
21-Dec-2023,"1,189.0166",+18.3516,+1.5676%
20-Dec-2023,"1,170.6650",-19.4441,-1.6338%
19-Dec-2023,"1,190.1092",+20.0118,+1.7103%
18-Dec-2023,"1,170.0974",-19.9088,-1.6730%
15-Dec-2023,"1,190.0062",+22.4529,+1.9231%
14-Dec-2023,"1,167.5533",+54.6743,+4.9129%
13-Dec-2023,"1,112.8790",+22.2247,+2.0377%
12-Dec-2023,"1,090.6543",-20.6733,-1.8602%
11-Dec-2023,"1,111.3275",-2.7715,-0.2488%
08-Dec-2023,"1,114.0990",-4.3861,-0.3921%
07-Dec-2023,"1,118.4851",-6.2477,-0.5555%
06-Dec-2023,"1,124.7328",-5.4149,-0.4791%
05-Dec-2023,"1,130.1476",-3.5138,-0.3099%
04-Dec-2023,"1,133.6614",+7.1203,+0.6321%
01-Dec-2023,"1,126.5411",+18.9390,+1.7099%
30-Nov-2023,"1,107.6021",+19.6110,+1.8025%
29-Nov-2023,"1,087.9911",+13.8244,+1.2870%
28-Nov-2023,"1,074.1667",+5.8140,+0.5442%
27-Nov-2023,"1,068.3527",-5.5676,-0.5184%
24-Nov-2023,"1,073.9202",-12.2003,-1.1233%
23-Nov-2023,"1,086.1205",-0.4330,-0.0398%
