Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,,,,,,,
29-Feb-2024,7.93,+0.02,+0.30%,7.86,7.86,8.08,"1,330,959","10,578,478.29",,,,,,,
28-Feb-2024,7.91,-0.02,-0.21%,7.95,7.89,8.00,"361,641","2,868,163.39",,,,,,,
27-Feb-2024,7.92,+0.04,+0.49%,7.88,7.87,7.96,"264,963","2,097,264.46",,,,,,,
26-Feb-2024,7.89,-0.02,-0.22%,7.82,7.80,7.93,"238,102","1,869,756.43",,,,,,,
23-Feb-2024,7.90,-0.14,-1.77%,7.99,7.86,7.99,"156,298","1,237,811.62",,,,,,,
22-Feb-2024,8.04,-0.06,-0.80%,8.22,8.02,8.22,"170,157","1,381,244.21",,,,,,,
21-Feb-2024,8.11,-0.11,-1.31%,8.18,8.07,8.18,"92,083","746,869.95",,,,,,,
20-Feb-2024,8.22,-0.09,-1.13%,8.35,8.22,8.35,"96,516","796,584.89",,,,,,,
19-Feb-2024,8.31,-0.08,-0.90%,8.31,8.30,8.36,"159,559","1,326,022.12",,,,,,,
16-Feb-2024,8.39,-0.04,-0.43%,8.47,8.34,8.47,"151,342","1,269,568.08",,,,,,,
15-Feb-2024,8.42,+0.14,+1.69%,8.39,8.39,8.51,"174,792","1,478,851.97",,,,,,,
14-Feb-2024,8.28,+0.13,+1.62%,8.16,8.16,8.29,"174,947","1,440,113.63",,,,,,,
13-Feb-2024,8.15,-0.28,-3.35%,8.36,8.09,8.43,"732,822","6,129,788.94",,,,,,,
12-Feb-2024,8.43,+0.30,+3.66%,8.26,8.23,8.43,"257,466","2,142,194.75",,,,,,,
09-Feb-2024,8.14,+0.01,+0.10%,8.14,8.10,8.19,"183,794","1,498,761.56",,,,,,,
08-Feb-2024,8.13,-0.06,-0.76%,8.20,8.13,8.22,"78,589","642,287.32",,,,,,,
07-Feb-2024,8.19,+0.26,+3.25%,8.11,8.11,8.27,"357,341","2,923,230.97",,,,,,,
06-Feb-2024,7.93,+0.12,+1.57%,7.92,7.87,7.93,"103,089","815,476.79",,,,,,,
05-Feb-2024,7.81,-0.19,-2.36%,7.96,7.77,7.99,"204,051","1,613,371.74",,,,,,,
02-Feb-2024,8.00,-0.12,-1.48%,8.13,7.93,8.17,"297,766","2,383,907.57",,,,,,,
01-Feb-2024,8.12,+0.04,+0.45%,8.14,8.09,8.27,"190,907","1,557,536.52",,,,,,,
31-Jan-2024,8.08,+0.10,+1.26%,7.95,7.95,8.15,"53,961","434,471.26",,,,,,,
30-Jan-2024,7.98,-0.03,-0.36%,8.03,7.97,8.11,"263,827","2,112,761.14",,,,,,,
29-Jan-2024,8.01,+0.00,+0.04%,7.95,7.95,8.01,"116,676","931,511.10",,,,,,,
26-Jan-2024,8.01,+0.02,+0.19%,8.05,8.00,8.07,"60,869","488,952.90",,,,,,,
25-Jan-2024,7.99,-0.10,-1.18%,8.06,7.94,8.08,"70,074","561,607.07",,,,,,,
24-Jan-2024,8.09,+0.08,+0.96%,8.16,8.09,8.20,"90,629","737,832.63",,,,,,,
23-Jan-2024,8.01,+0.04,+0.55%,7.97,7.96,8.18,"189,215","1,524,482.96",,,,,,,
22-Jan-2024,7.97,+0.17,+2.14%,7.86,7.86,8.14,"170,705","1,370,704.62",,,,,,,
19-Jan-2024,7.80,-0.13,-1.64%,7.93,7.80,7.93,"102,754","809,140.53",,,,,,,
18-Jan-2024,7.93,+0.06,+0.79%,7.89,7.89,7.98,"84,503","670,890.38",,,,,,,
17-Jan-2024,7.87,-0.28,-3.45%,8.01,7.85,8.02,"192,460","1,523,398.99",,,,,,,
16-Jan-2024,8.15,-0.19,-2.33%,8.31,8.15,8.31,"130,383","1,066,640.42",,,,,,,
15-Jan-2024,8.34,-0.08,-1.00%,8.39,8.33,8.40,"81,573","681,582.95",,,,,,,
12-Jan-2024,8.43,+0.01,+0.16%,8.43,8.37,8.52,"71,801","605,689.49",,,,,,,
11-Jan-2024,8.42,-0.08,-1.00%,8.56,8.39,8.60,"144,299","1,233,952.94",,,,,,,
10-Jan-2024,8.50,-0.04,-0.52%,8.57,8.47,8.61,"95,779","819,170.36",,,,,,,
09-Jan-2024,8.54,-0.03,-0.33%,8.59,8.46,8.59,"158,699","1,347,215.10",,,,,,,
08-Jan-2024,8.57,-0.01,-0.07%,8.58,8.50,8.58,"125,290","1,072,521.89",,,,,,,
05-Jan-2024,8.58,-0.04,-0.50%,8.59,8.49,8.63,"65,405","561,199.31",,,,,,,
04-Jan-2024,8.62,+0.01,+0.06%,8.61,8.56,8.71,"156,761","1,356,920.83",,,,,,,
03-Jan-2024,8.62,-0.30,-3.31%,8.83,8.62,8.91,"70,882","620,889.31",,,,,,,
02-Jan-2024,8.91,-0.15,-1.63%,8.94,8.80,8.97,"130,784","1,165,665.64",,,,,,,
29-Dec-2023,9.06,+0.05,+0.56%,9.04,9.04,9.08,"76,623","693,168.18",,,,,,,
28-Dec-2023,9.01,-0.00,-0.04%,8.97,8.97,9.07,"194,613","1,757,846.35",,,,,,,
27-Dec-2023,9.01,+0.22,+2.45%,8.97,8.97,9.07,"104,549","943,140.71",,,,,,,
26-Dec-2023,,,,,,,,,,,,,,,
22-Dec-2023,8.80,-0.06,-0.73%,8.83,8.77,8.83,"31,517","277,409.78",,,,,,,
21-Dec-2023,8.86,+0.14,+1.64%,8.75,8.69,8.86,"72,236","634,259.14",,,,,,,
