Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - EUR,,,,,,,
29-Feb-2024,7.34,+0.04,+0.61%,7.28,7.28,7.48,"1,330,959","9,792,180.00",,,,,,,
28-Feb-2024,7.30,-0.01,-0.14%,7.34,7.29,7.39,"361,641","2,646,884.59",,,,,,,
27-Feb-2024,7.31,+0.04,+0.52%,7.27,7.26,7.34,"264,963","1,934,034.37",,,,,,,
26-Feb-2024,7.27,-0.04,-0.48%,7.21,7.19,7.31,"238,102","1,723,747.15",,,,,,,
23-Feb-2024,7.30,-0.13,-1.73%,7.38,7.27,7.38,"156,298","1,144,220.68",,,,,,,
22-Feb-2024,7.43,-0.06,-0.85%,7.59,7.41,7.59,"170,157","1,276,214.40",,,,,,,
21-Feb-2024,7.50,-0.11,-1.44%,7.57,7.46,7.57,"92,083","690,458.86",,,,,,,
20-Feb-2024,7.61,-0.11,-1.37%,7.73,7.61,7.73,"96,516","737,374.73",,,,,,,
19-Feb-2024,7.71,-0.07,-0.93%,7.71,7.70,7.76,"159,559","1,230,415.92",,,,,,,
16-Feb-2024,7.78,-0.04,-0.46%,7.86,7.74,7.86,"151,342","1,178,362.31",,,,,,,
15-Feb-2024,7.82,+0.10,+1.25%,7.79,7.79,7.90,"174,792","1,372,995.74",,,,,,,
14-Feb-2024,7.72,+0.11,+1.47%,7.61,7.61,7.73,"174,947","1,342,761.95",,,,,,,
13-Feb-2024,7.61,-0.22,-2.79%,7.81,7.55,7.87,"732,822","5,723,935.62",,,,,,,
12-Feb-2024,7.83,+0.28,+3.77%,7.67,7.64,7.83,"257,466","1,988,856.45",,,,,,,
09-Feb-2024,7.55,+0.00,+0.04%,7.55,7.51,7.59,"183,794","1,390,056.38",,,,,,,
08-Feb-2024,7.54,-0.06,-0.81%,7.61,7.54,7.63,"78,589","596,036.21",,,,,,,
07-Feb-2024,7.60,+0.23,+3.08%,7.53,7.53,7.68,"357,341","2,713,986.10",,,,,,,
06-Feb-2024,7.38,+0.11,+1.45%,7.36,7.32,7.38,"103,089","758,303.71",,,,,,,
05-Feb-2024,7.27,-0.15,-1.97%,7.41,7.23,7.44,"204,051","1,502,065.23",,,,,,,
02-Feb-2024,7.42,-0.05,-0.68%,7.54,7.36,7.57,"297,766","2,210,597.49",,,,,,,
01-Feb-2024,7.47,-0.01,-0.07%,7.49,7.45,7.61,"190,907","1,432,606.52",,,,,,,
31-Jan-2024,7.47,+0.11,+1.48%,7.35,7.35,7.54,"53,961","401,694.74",,,,,,,
30-Jan-2024,7.36,-0.03,-0.42%,7.41,7.36,7.48,"263,827","1,949,043.28",,,,,,,
29-Jan-2024,7.40,+0.02,+0.22%,7.33,7.33,7.40,"116,676","859,887.21",,,,,,,
26-Jan-2024,7.38,+0.01,+0.14%,7.41,7.37,7.43,"60,869","450,565.21",,,,,,,
25-Jan-2024,7.37,-0.06,-0.84%,7.43,7.32,7.45,"70,074","517,801.72",,,,,,,
24-Jan-2024,7.43,+0.05,+0.66%,7.50,7.43,7.53,"90,629","677,964.89",,,,,,,
23-Jan-2024,7.38,+0.06,+0.82%,7.35,7.33,7.54,"189,215","1,404,917.77",,,,,,,
22-Jan-2024,7.32,+0.16,+2.29%,7.23,7.23,7.48,"170,705","1,259,718.67",,,,,,,
19-Jan-2024,7.16,-0.13,-1.85%,7.28,7.16,7.28,"102,754","742,532.08",,,,,,,
18-Jan-2024,7.29,+0.06,+0.85%,7.26,7.26,7.33,"84,503","616,964.21",,,,,,,
17-Jan-2024,7.23,-0.26,-3.51%,7.36,7.22,7.37,"192,460","1,400,049.37",,,,,,,
16-Jan-2024,7.50,-0.13,-1.66%,7.64,7.50,7.64,"130,383","980,903.86",,,,,,,
15-Jan-2024,7.62,-0.08,-0.99%,7.66,7.61,7.67,"81,573","622,564.68",,,,,,,
12-Jan-2024,7.70,+0.03,+0.35%,7.70,7.65,7.78,"71,801","553,194.38",,,,,,,
11-Jan-2024,7.67,-0.08,-0.99%,7.80,7.65,7.84,"144,299","1,124,846.82",,,,,,,
10-Jan-2024,7.75,-0.07,-0.88%,7.81,7.72,7.85,"95,779","746,665.59",,,,,,,
09-Jan-2024,7.82,-0.01,-0.17%,7.85,7.74,7.85,"158,699","1,232,472.79",,,,,,,
08-Jan-2024,7.83,-0.01,-0.14%,7.84,7.76,7.84,"125,290","979,566.41",,,,,,,
05-Jan-2024,7.84,-0.04,-0.48%,7.85,7.76,7.89,"65,405","512,930.56",,,,,,,
04-Jan-2024,7.88,-0.01,-0.14%,7.87,7.83,7.96,"156,761","1,239,994.96",,,,,,,
03-Jan-2024,7.89,-0.25,-3.08%,8.09,7.89,8.16,"70,882","568,529.72",,,,,,,
02-Jan-2024,8.14,-0.07,-0.84%,8.16,8.04,8.20,"130,784","1,064,823.91",,,,,,,
29-Dec-2023,8.21,+0.06,+0.77%,8.19,8.19,8.23,"76,623","628,100.48",,,,,,,
28-Dec-2023,8.15,+0.03,+0.36%,8.12,8.12,8.20,"194,613","1,589,514.98",,,,,,,
27-Dec-2023,8.12,+0.13,+1.59%,8.08,8.08,8.17,"104,549","849,449.12",,,,,,,
26-Dec-2023,,,,,,,,,,,,,,,
22-Dec-2023,7.99,-0.06,-0.75%,8.02,7.97,8.02,"31,517","251,962.98",,,,,,,
21-Dec-2023,8.05,+0.08,+0.99%,7.95,7.90,8.05,"72,236","576,180.03",,,,,,,
20-Dec-2023,7.97,+0.01,+0.16%,8.01,7.97,8.07,"224,530","1,798,867.03",,,,,,,
19-Dec-2023,7.96,+0.09,+1.20%,7.85,7.85,8.03,"226,086","1,792,389.78",,,,,,,
18-Dec-2023,7.87,-0.10,-1.21%,7.92,7.82,7.93,"111,206","878,048.83",,,,,,,
15-Dec-2023,7.96,+0.08,+1.06%,7.90,7.90,8.05,"82,349","657,234.81",,,,,,,
14-Dec-2023,7.88,+0.60,+8.27%,7.63,7.63,7.94,"231,252","1,784,748.60",,,,,,,
13-Dec-2023,7.28,-0.01,-0.14%,7.30,7.26,7.32,"136,665","996,650.16",,,,,,,
12-Dec-2023,7.29,-0.17,-2.29%,7.50,7.29,7.50,"327,613","2,400,595.47",,,,,,,
11-Dec-2023,7.46,-0.05,-0.72%,7.47,7.41,7.51,"179,317","1,334,827.21",,,,,,,
08-Dec-2023,7.51,-0.04,-0.49%,7.53,7.51,7.60,"57,317","433,161.17",,,,,,,
07-Dec-2023,7.55,-0.05,-0.72%,7.55,7.52,7.56,"52,056","392,361.54",,,,,,,
06-Dec-2023,7.60,-0.04,-0.55%,7.65,7.59,7.67,"78,249","595,234.04",,,,,,,
05-Dec-2023,7.65,+0.00,+0.01%,7.59,7.59,7.66,"67,857","517,612.58",,,,,,,
04-Dec-2023,7.64,+0.09,+1.23%,7.56,7.56,7.71,"152,110","1,164,526.29",,,,,,,
01-Dec-2023,7.55,+0.13,+1.73%,7.50,7.43,7.55,"147,905","1,107,569.72",,,,,,,
30-Nov-2023,7.42,+0.08,+1.13%,7.35,7.35,7.44,"104,459","772,918.30",,,,,,,
29-Nov-2023,7.34,+0.09,+1.25%,7.27,7.25,7.40,"251,088","1,849,682.34",,,,,,,
28-Nov-2023,7.25,+0.04,+0.52%,7.21,7.13,7.25,"115,507","832,461.21",,,,,,,
27-Nov-2023,7.21,-0.02,-0.23%,7.23,7.18,7.24,"103,628","747,343.79",,,,,,,
24-Nov-2023,7.23,-0.08,-1.10%,7.30,7.23,7.30,"48,058","349,179.42",,,,,,,
23-Nov-2023,7.31,-0.04,-0.61%,7.34,7.28,7.34,"195,293","1,424,269.46",,,,,,,
22-Nov-2023,7.36,+0.06,+0.87%,7.33,7.29,7.36,"106,007","779,783.67",,,,,,,
21-Nov-2023,7.29,-0.10,-1.30%,7.47,7.29,7.47,"80,877","599,450.91",,,,,,,
20-Nov-2023,7.39,+0.12,+1.63%,7.28,7.28,7.40,"44,092","323,597.04",,,,,,,
17-Nov-2023,7.27,-0.02,-0.32%,7.30,7.27,7.43,"308,344","2,259,102.56",,,,,,,
16-Nov-2023,7.29,-0.21,-2.84%,7.38,7.29,7.38,"147,028","1,077,795.51",,,,,,,
15-Nov-2023,7.51,+0.23,+3.17%,7.34,7.34,7.54,"455,101","3,389,108.11",,,,,,,
14-Nov-2023,7.27,+0.29,+4.11%,6.99,6.97,7.29,"118,629","846,278.28",,,,,,,
13-Nov-2023,6.99,+0.04,+0.56%,6.98,6.93,7.00,"72,865","508,110.42",,,,,,,
10-Nov-2023,6.95,-0.17,-2.34%,7.05,6.91,7.05,"78,308","544,384.08",,,,,,,
09-Nov-2023,7.12,+0.05,+0.74%,7.12,7.10,7.15,"97,780","696,901.64",,,,,,,
08-Nov-2023,7.06,-0.14,-1.89%,7.16,7.06,7.22,"136,658","977,709.66",,,,,,,
07-Nov-2023,7.20,+0.02,+0.29%,7.16,7.14,7.20,"213,363","1,532,176.97",,,,,,,
06-Nov-2023,7.18,-0.14,-1.88%,7.34,7.18,7.36,"49,958","364,023.41",,,,,,,
03-Nov-2023,7.32,+0.18,+2.50%,7.19,7.19,7.40,"259,707","1,882,089.53",,,,,,,
02-Nov-2023,7.14,+0.20,+2.87%,6.86,6.86,7.17,"165,286","1,155,604.96",,,,,,,
01-Nov-2023,6.94,-0.07,-1.05%,7.03,6.94,7.06,"119,768","835,840.30",,,,,,,
31-Oct-2023,7.01,+0.08,+1.19%,6.95,6.95,7.04,"37,414","261,946.63",,,,,,,
30-Oct-2023,6.93,-0.12,-1.69%,7.07,6.91,7.12,"109,551","765,612.33",,,,,,,
27-Oct-2023,7.05,-0.21,-2.96%,7.20,7.04,7.20,"113,270","808,228.12",,,,,,,
26-Oct-2023,7.26,+0.12,+1.62%,7.14,7.13,7.28,"120,243","862,616.11",,,,,,,
25-Oct-2023,7.15,-0.17,-2.28%,7.21,7.10,7.23,"72,558","520,861.83",,,,,,,
24-Oct-2023,7.31,+0.13,+1.76%,7.13,7.13,7.36,"208,066","1,510,913.32",,,,,,,
23-Oct-2023,7.19,-0.04,-0.50%,7.23,7.12,7.23,"272,889","1,955,438.26",,,,,,,
20-Oct-2023,7.22,-0.32,-4.25%,7.24,7.13,7.28,"341,969","2,464,731.53",,,,,,,
19-Oct-2023,7.54,-0.05,-0.71%,7.53,7.53,7.58,"25,928","196,114.53",,,,,,,
18-Oct-2023,7.60,-0.17,-2.25%,7.70,7.59,7.72,"160,886","1,234,607.57",,,,,,,
17-Oct-2023,7.77,+0.12,+1.56%,7.66,7.63,7.77,"111,239","854,316.48",,,,,,,
16-Oct-2023,7.65,-0.06,-0.75%,7.67,7.61,7.69,"66,438","508,524.03",,,,,,,
13-Oct-2023,7.71,-0.04,-0.55%,7.75,7.65,7.75,"45,883","353,681.99",,,,,,,
12-Oct-2023,7.75,-0.05,-0.58%,7.92,7.72,7.92,"474,846","3,698,183.87",,,,,,,
11-Oct-2023,7.80,+0.07,+0.87%,7.79,7.79,7.89,"286,252","2,249,572.54",,,,,,,
10-Oct-2023,7.73,+0.27,+3.63%,7.49,7.49,7.76,"122,433","928,312.73",,,,,,,
09-Oct-2023,7.46,+0.05,+0.65%,7.49,7.45,7.54,"70,838","530,895.53",,,,,,,
06-Oct-2023,7.41,+0.02,+0.23%,7.42,7.31,7.47,"285,711","2,104,913.41",,,,,,,
05-Oct-2023,7.40,+0.00,+0.01%,7.50,7.40,7.57,"296,183","2,198,440.01",,,,,,,
04-Oct-2023,7.40,-0.09,-1.16%,7.45,7.38,7.50,"60,093","447,732.56",,,,,,,
03-Oct-2023,7.48,-0.28,-3.66%,7.72,7.48,7.72,"191,958","1,452,745.65",,,,,,,
02-Oct-2023,7.77,-0.18,-2.24%,8.01,7.76,8.01,"55,865","439,714.45",,,,,,,
29-Sep-2023,7.94,+0.03,+0.37%,7.95,7.94,8.06,"48,184","384,707.79",,,,,,,
28-Sep-2023,7.92,-0.11,-1.37%,8.01,7.87,8.01,"105,542","839,556.67",,,,,,,
27-Sep-2023,8.03,+0.00,+0.01%,8.07,8.01,8.09,"40,535","327,294.16",,,,,,,
26-Sep-2023,8.03,-0.07,-0.82%,8.08,8.00,8.08,"192,252","1,542,595.32",,,,,,,
25-Sep-2023,8.09,-0.10,-1.25%,8.14,8.07,8.19,"71,593","581,339.87",,,,,,,
22-Sep-2023,8.19,-0.05,-0.57%,8.21,8.17,8.24,"46,454","380,583.96",,,,,,,
21-Sep-2023,8.24,-0.11,-1.29%,8.26,8.22,8.29,"86,509","713,787.42",,,,,,,
20-Sep-2023,8.35,-0.01,-0.17%,8.30,8.30,8.38,"99,436","831,415.12",,,,,,,
19-Sep-2023,8.36,+0.04,+0.50%,8.30,8.29,8.36,"40,252","335,307.66",,,,,,,
18-Sep-2023,8.32,-0.14,-1.68%,8.42,8.32,8.45,"36,344","304,814.02",,,,,,,
15-Sep-2023,8.46,-0.05,-0.56%,8.50,8.47,8.57,"54,094","460,241.64",,,,,,,
14-Sep-2023,8.51,+0.17,+2.00%,8.37,8.35,8.53,"49,111","412,983.44",,,,,,,
13-Sep-2023,8.35,+0.06,+0.68%,8.31,8.31,8.37,"100,449","837,217.14",,,,,,,
12-Sep-2023,8.29,+0.00,+0.06%,8.29,8.23,8.31,"37,769","312,605.47",,,,,,,
11-Sep-2023,8.29,+0.03,+0.38%,8.29,8.25,8.31,"39,304","325,570.63",,,,,,,
08-Sep-2023,8.25,+0.03,+0.35%,8.30,8.25,8.31,"148,685","1,230,036.88",,,,,,,
07-Sep-2023,8.22,-0.12,-1.39%,8.30,8.20,8.33,"71,887","594,163.30",,,,,,,
06-Sep-2023,8.34,-0.13,-1.59%,8.43,8.34,8.43,"69,177","579,919.63",,,,,,,
05-Sep-2023,8.48,-0.03,-0.39%,8.51,8.48,8.54,"115,258","981,488.81",,,,,,,
04-Sep-2023,8.51,-0.05,-0.55%,8.56,8.51,8.59,"166,934","1,422,449.24",,,,,,,
01-Sep-2023,8.56,+0.03,+0.40%,8.51,8.51,8.61,"61,636","526,854.61",,,,,,,
31-Aug-2023,8.52,-0.01,-0.11%,8.53,8.51,8.57,"133,008","1,134,234.80",,,,,,,
30-Aug-2023,8.53,-0.14,-1.63%,8.70,8.51,8.70,"194,845","1,667,077.36",,,,,,,
29-Aug-2023,8.67,+0.17,+1.98%,8.59,8.56,8.69,"125,013","1,076,549.20",,,,,,,
28-Aug-2023,,,,,,,,,,,,,,,
25-Aug-2023,8.50,+0.04,+0.46%,8.43,8.43,8.50,"50,058","423,828.54",,,,,,,
24-Aug-2023,8.47,-0.08,-0.88%,8.55,8.47,8.58,"39,121","334,178.14",,,,,,,
23-Aug-2023,8.54,+0.16,+1.89%,8.41,8.41,8.54,"165,373","1,407,948.79",,,,,,,
22-Aug-2023,8.38,+0.02,+0.28%,8.43,8.38,8.47,"50,067","421,870.53",,,,,,,
21-Aug-2023,8.36,-0.06,-0.71%,8.38,8.36,8.48,"28,476","240,093.13",,,,,,,
18-Aug-2023,8.42,-0.06,-0.72%,8.44,8.37,8.47,"43,171","364,040.97",,,,,,,
17-Aug-2023,8.48,-0.13,-1.53%,8.58,8.47,8.58,"89,236","760,451.56",,,,,,,
16-Aug-2023,8.61,-0.06,-0.65%,8.69,8.60,8.69,"62,559","540,198.27",,,,,,,
15-Aug-2023,8.67,-0.18,-2.03%,8.86,8.62,8.86,"50,500","440,928.91",,,,,,,
14-Aug-2023,8.85,+0.04,+0.45%,8.90,8.77,8.90,"24,631","217,324.52",,,,,,,
11-Aug-2023,8.81,-0.12,-1.38%,8.93,8.80,8.93,"77,933","688,992.08",,,,,,,
10-Aug-2023,8.93,-0.05,-0.58%,8.96,8.86,8.97,"94,358","841,487.15",,,,,,,
09-Aug-2023,8.98,+0.10,+1.11%,8.87,8.87,8.98,"107,025","958,094.06",,,,,,,
08-Aug-2023,8.88,-0.01,-0.06%,8.90,8.85,8.90,"41,390","367,517.83",,,,,,,
07-Aug-2023,8.89,-0.17,-1.86%,9.00,8.86,9.01,"154,776","1,386,878.76",,,,,,,
04-Aug-2023,9.06,-0.04,-0.39%,9.03,9.00,9.09,"49,399","446,503.37",,,,,,,
03-Aug-2023,9.09,+0.01,+0.09%,9.10,9.07,9.19,"121,300","1,108,812.69",,,,,,,
02-Aug-2023,9.08,-0.42,-4.42%,9.22,9.09,9.24,"112,908","1,036,517.77",,,,,,,
01-Aug-2023,9.51,-0.05,-0.47%,9.47,9.47,9.53,"63,652","604,911.78",,,,,,,
31-Jul-2023,9.55,+0.16,+1.65%,9.45,9.45,9.64,"156,573","1,499,174.34",,,,,,,
28-Jul-2023,9.40,-0.15,-1.57%,9.49,9.37,9.54,"42,575","401,768.28",,,,,,,
27-Jul-2023,9.55,-0.03,-0.33%,9.60,9.55,9.62,"202,346","1,077,413.17",,,,,,,
26-Jul-2023,9.58,-0.21,-2.10%,9.71,9.60,9.76,"58,282","563,901.20",,,,,,,
25-Jul-2023,9.78,+0.02,+0.22%,9.82,9.76,9.84,"60,685","594,198.46",,,,,,,
24-Jul-2023,9.76,+0.04,+0.46%,9.66,9.66,9.77,"42,574","414,416.80",,,,,,,
21-Jul-2023,9.72,+0.04,+0.40%,9.68,9.63,9.74,"46,754","453,713.14",,,,,,,
20-Jul-2023,9.68,-0.16,-1.65%,9.75,9.66,9.78,"136,417","1,323,077.50",,,,,,,
19-Jul-2023,9.84,+0.16,+1.65%,9.69,9.66,9.85,"91,387","894,535.45",,,,,,,
18-Jul-2023,9.68,+0.03,+0.36%,9.71,9.68,9.80,"201,227","1,959,685.48",,,,,,,
17-Jul-2023,9.65,+0.10,+1.07%,9.55,9.47,9.66,"165,297","1,576,641.42",,,,,,,
14-Jul-2023,9.54,-0.12,-1.29%,9.64,9.54,9.64,"110,464","1,060,311.48",,,,,,,
13-Jul-2023,9.67,+0.07,+0.68%,9.66,9.65,9.71,"61,477","594,795.20",,,,,,,
12-Jul-2023,9.60,+0.10,+1.08%,9.46,9.46,9.61,"89,185","849,494.04",,,,,,,
11-Jul-2023,9.50,+0.07,+0.75%,9.55,9.47,9.55,"133,238","1,266,927.66",,,,,,,
10-Jul-2023,9.43,-0.02,-0.21%,9.38,9.33,9.47,"102,741","967,782.51",,,,,,,
07-Jul-2023,9.45,+0.13,+1.40%,9.33,9.29,9.45,"298,899","2,804,367.29",,,,,,,
06-Jul-2023,9.32,-0.29,-3.03%,9.58,9.32,9.58,"68,890","651,815.00",,,,,,,
05-Jul-2023,9.61,-0.10,-1.03%,9.64,9.60,9.68,"40,123","386,278.56",,,,,,,
04-Jul-2023,9.71,+0.01,+0.10%,9.69,9.69,9.74,"19,419","188,711.53",,,,,,,
03-Jul-2023,9.70,+0.09,+0.90%,9.63,9.63,9.74,"61,034","592,175.96",,,,,,,
30-Jun-2023,9.61,+0.13,+1.32%,9.51,9.51,9.61,"87,539","837,930.63",,,,,,,
