




Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,6,19547
2004-02-01,6,19547
2004-03-01,4,13031
2004-04-01,5,16289
2004-05-01,3,9773
2004-06-01,5,16289
2004-07-01,3,9773
2004-08-01,3,9773
2004-09-01,3,9773
2004-10-01,4,13031
2004-11-01,4,13031
2004-12-01,2,6515
2005-01-01,4,13031
2005-02-01,6,19547
2005-03-01,5,16289
2005-04-01,5,16289
2005-05-01,9,29321
2005-06-01,6,19547
2005-07-01,4,13031
2005-08-01,2,6515
2005-09-01,3,9773
2005-10-01,5,16289
2005-11-01,2,6515
2005-12-01,2,6515
2006-01-01,5,16289
2006-02-01,4,13031
2006-03-01,5,16289
2006-04-01,3,9773
2006-05-01,4,13031
2006-06-01,7,22805
2006-07-01,3,9773
2006-08-01,4,13031
2006-09-01,3,9773
2006-10-01,4,13031
2006-11-01,5,16289
2006-12-01,5,16289
2007-01-01,5,16289
2007-02-01,9,29321
2007-03-01,10,32579
2007-04-01,10,32579
2007-05-01,8,26063
2007-06-01,9,29321
2007-07-01,7,22805
2007-08-01,6,19547
2007-09-01,7,22805
2007-10-01,8,26063
2007-11-01,9,29321
2007-12-01,11,35837
2008-01-01,11,35837
2008-02-01,15,48869
2008-03-01,12,39095
2008-04-01,15,48869
2008-05-01,16,52127
2008-06-01,32,104254
2008-07-01,24,78190
2008-08-01,10,32579
2008-09-01,19,61901
2008-10-01,24,78190
2008-11-01,13,42353
2008-12-01,8,26063
2009-01-01,9,29321
2009-02-01,10,32579
2009-03-01,14,45611
2009-04-01,13,42353
2009-05-01,11,35837
2009-06-01,12,39095
2009-07-01,10,32579
2009-08-01,6,19547
2009-09-01,11,35837
2009-10-01,10,32579
2009-11-01,13,42353
2009-12-01,13,42353
2010-01-01,9,29321
2010-02-01,9,29321
2010-03-01,10,32579
2010-04-01,12,39095
2010-05-01,9,29321
2010-06-01,10,32579
2010-07-01,7,22805
2010-08-01,8,26063
2010-09-01,8,26063
2010-10-01,8,26063
2010-11-01,8,26063
2010-12-01,7,22805
2011-01-01,6,19547
2011-02-01,13,42353
2011-03-01,34,110770
2011-04-01,25,81448
