




Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,0,0
2004-02-01,35,7198
2004-03-01,16,3290
2004-04-01,0,0
2004-05-01,21,4319
2004-06-01,26,5347
2004-07-01,27,5553
2004-08-01,29,5964
2004-09-01,49,10077
2004-10-01,39,8021
2004-11-01,56,11517
2004-12-01,12,2468
2005-01-01,24,4936
2005-02-01,33,6787
2005-03-01,8,1645
2005-04-01,30,6170
2005-05-01,22,4524
2005-06-01,24,4936
2005-07-01,41,8432
2005-08-01,31,6375
2005-09-01,36,7404
2005-10-01,57,11723
2005-11-01,26,5347
2005-12-01,26,5347
2006-01-01,28,5758
2006-02-01,34,6992
2006-03-01,69,14191
2006-04-01,38,7815
2006-05-01,34,6992
2006-06-01,37,7609
2006-07-01,20,4113
2006-08-01,22,4524
2006-09-01,29,5964
2006-10-01,37,7609
2006-11-01,30,6170
2006-12-01,34,6992
2007-01-01,49,10077
2007-02-01,39,8021
2007-03-01,31,6375
2007-04-01,45,9255
2007-05-01,37,7609
2007-06-01,29,5964
2007-07-01,26,5347
2007-08-01,35,7198
2007-09-01,22,4524
2007-10-01,40,8226
2007-11-01,48,9872
2007-12-01,47,9666
2008-01-01,50,10283
2008-02-01,28,5758
2008-03-01,35,7198
2008-04-01,49,10077
2008-05-01,35,7198
2008-06-01,46,9460
2008-07-01,46,9460
2008-08-01,27,5553
2008-09-01,46,9460
2008-10-01,52,10694
2008-11-01,44,9049
2008-12-01,39,8021
2009-01-01,48,9872
2009-02-01,31,6375
2009-03-01,40,8226
2009-04-01,36,7404
2009-05-01,44,9049
2009-06-01,34,6992
2009-07-01,33,6787
2009-08-01,37,7609
2009-09-01,34,6992
2009-10-01,50,10283
2009-11-01,40,8226
2009-12-01,39,8021
2010-01-01,36,7404
2010-02-01,38,7815
2010-03-01,31,6375
2010-04-01,38,7815
2010-05-01,29,5964
2010-06-01,37,7609
2010-07-01,30,6170
2010-08-01,34,6992
2010-09-01,35,7198
2010-10-01,37,7609
2010-11-01,34,6992
2010-12-01,36,7404
2011-01-01,43,8843
2011-02-01,38,7815
2011-03-01,44,9049
2011-04-01,32,6581
2011-05-01,39,8021
2011-06-01,29,5964
2011-07-01,30,6170
2011-08-01,31,6375
2011-09-01,26,5347
2011-10-01,24,4936
2011-11-01,21,4319
2011-12-01,23,4730
2012-01-01,30,6170
2012-02-01,39,8021
2012-03-01,37,7609
2012-04-01,29,5964
2012-05-01,29,5964
2012-06-01,22,4524
2012-07-01,28,5758
2012-08-01,21,4319
2012-09-01,24,4936
2012-10-01,24,4936
2012-11-01,26,5347
2012-12-01,19,3907
2013-01-01,30,6170
2013-02-01,30,6170
2013-03-01,31,6375
2013-04-01,29,5964
